rejected_page_count	Count
49s	31
A4-D4.	31
[02] , 26 s.	31
[02] , 34 s.	31
135s	31
(7)s	31
117s	31
99s	31
9 vol.	30
386 s.	30
38, [1] s.	30
188s	30
59, [1] s.	30
51, [1] s.	30
107s	30
54, [1] s.	30
14,(2)s	30
431 s.	30
189, [1] s.	30
381 s.	30
90s	30
422 s.	30
90, [1] s.	30
444 s.	30
443 s.	30
250, [1] s.	30
446 s.	30
[02] , 38 s.	30
[02] , 24 s.	30
140s	30
452 s.	29
434 s.	29
122s	29
110s	29
103,(1)s	29
131s	29
138s	29
110,(1)s	29
280s	29
247, [1] s.	29
131, [1] s.	29
[02] , 46 s.	29
77,(1)s	29
395 s.	28
205, [1] s.	28
414 s.	28
402 s.	28
439 s.	28
427 s.	28
430 s.	28
[7] s.	28
220s	28
147, [1] s.	28
67, [1] s.	28
168s	28
264s	28
82s	28
544 s.	28
42,(1)s	28
474 s.	28
171, [1] s.	28
198, [1] s.	28
11 st.	28
139, [1] s.	28
124, [1] s.	28
59,(1)s	28
206s	28
[02] , 40 s.	28
432 s. =(s. 421-32 opag.)=.	28
221s	28
85s	28
87,(1)s	28
124s	28
18,(2)s	28
438 s.	27
38,(1)s	27
142s	27
26,(1)s	27
85, [1] s.	27
393 s.	27
[2], 14 s.	27
70, [1] s.	27
212, [1] s.	27
252, [1] s.	27
45, [1] s.	27
150, [1] s.	27
165, [1] s.	27
442 s.	27
215, [1] s.	27
253s	27
[02] , 32 s.	27
[02] , 62 s.	27
147s	27
155s	27
134s	27
248s	27
436 s.	26
389 s.	26
496 s.	26
428 s.	26
22, [1] s.	26
479 s.	26
239s	26
405 s.	26
[80] s.	26
[4], 16 s.	26
148, [1] s.	26
[4], 8 s.	26
91, [1] s.	26
73s	26
204, [1] s.	26
61, [2] s.	26
163, [1] s.	26
62,(2)s	26
200, [1] s.	25
46, [2] s.	25
369 s.	25
195, [1] s.	25
304s	25
179s	25
143,(1)s	25
640 s.	25
117, [1] s.	25
3, [1] s.	25
207s	25
75,(1)s	25
16 s.; [1] pl.	25
463 s.	25
488 s.	25
121, [1] s.	25
[52] s.	25
140, [1] s.	25
244, [1] s.	25
132, [1] s.	25
136, [1] s.	25
[4], 20 s.	25
(20) bl.	25
[02] , 28 s.	25
[02] , 20 s.	25
141s	25
53,(1)s	25
44,(1)s	25
251s	25
[2], 20 s.	24
115, [1] s.	24
75, [1] s.	24
10 vol.	24
429 s.	24
146s	24
319, [1] s.	24
320s	24
172s	24
181, [1] s.	24
472 s.	24
230, [1] s.	24
60,(1)s	24
[60] s.	24
[2], 24 s.	24
214, [1] s.	24
197, [1] s.	24
184, [1] s.	24
206, [1] s.	24
4 st.	24
178, [1] s.	24
215s	24
287, [1] s.	24
217, [1] s.	24
118, [1] s.	24
17,(1)s	24
37,(1)s	24
[02] , 14 s.	24
69,(1)s	24
187s	24
164s	24
180s	24
204s	24
183s	24
54,(1)s	24
2 s.	23
478 s.	23
435 s.	23
271, [1] s.	23
173, [1] s.	23
[72] s.	23
76, [1] s.	23
493 s.	23
528 s.	23
(20)s	23
92,(1)s	23
185s	23
170, [1] s.	23
242, [1] s.	23
81, [1] s.	23
84, [1] s.	23
168, [1] s.	23
123, [1] s.	23
107, [1] s.	23
286s	23
109, [2] s.	23
225, [1] s.	23
423 s.	23
153, [1] s.	23
105s	23
[12] s. (s. 11/12 blank)	23
[8] s., (s. 7/8 blank)	23
102, [1] s.	23
470 s.	23
163s	23
166s	23
186s	23
126,(1)s	23
139s	23
287s	23
25,(1)s	23
468 s.	22
172, [1] s.	22
201, [1] s.	22
89, [1] s.	22
271s	22
237s	22
218, [1] s.	22
316, [1] s.	22
102,(1)s	22
231, [1] s.	22
441 s.	22
455 s.	22
211, [1] s.	22
237, [1] s.	22
164, [1] s.	22
210, [1] s.	22
226, [1] s.	22
[4] s. (s. 3-4 blankt blad)	22
2 d.	22
186, [1] s.	22
[02] , 78 s.	22
48 s. =(s. 47/48 blank).=	22
268s	22
270s	22
159,(1)s	22
46,(2)s	22
486 s.	21
568 s.	21
459 s.	21
101, [1] s.	21
214s	21
154s	21
182, [1] s.	21
89s	21
252s	21
152, [1] s.	21
258, [1] s.	21
286, [1] s.	21
113, [1] s.	21
[4], 12 s.	21
295, [1] s.	21
409 s.	21
50, [1] s.	21
126, [2] s.	21
227s	21
426 s.	21
1 blad	21
[24] s. =(s. 23/24 blank)=.	21
[02] , 54 s.	21
28,(1)s	21
150s	21
56 s. =(s. 55/56 blank)=.	21
170s	21
219s	21
312s	21
107,(1)s	21
70,(1)s	21
458 s.	20
130s	20
228s	20
421 s.	20
162, [1] s.	20
484 s.	20
385 s.	20
266, [1] s.	20
43, [1] s.	20
460 s.	20
177, [1] s.	20
173s	20
130, [1] s.	20
221, [2] s.	20
441, [1] s.	20
105, [1] s.	20
66, [2] s.	20
246, [1] s.	20
247s	20
[31] s.	20
146, [1] s.	20
202, [1] s.	20
311, [1] s.	20
41,(1)s	20
202s	20
60, [2] s.	20
A8-C8.	20
[02] , 36 s.	20
[04] , 44 s.	20
06 s.	20
324 s. =(s. 323-24 opag.).=	20
230s	20
149s	20
243s	20
181s	20
135,(1)s	20
504 s.	19
125, [2] s.	19
53, [1] s.	19
575 s.	19
123,(1)s	19
219, [1] s.	19
58, [1] s.	19
243, [1] s.	19
487 s.	19
[5] s.	19
110, [2] s.	19
88, [2] s.	19
82, [2] s.	19
157, [2] s.	19
263s	19
[2], 22 s.	19
15[1] s.	19
262, [1] s.	19
236, [1] s.	19
249, [1] s.	19
335, [1] s.	19
108, [1] s.	19
220, [1] s.	19
114, [1] s.	19
(16) s.	19
[02] , 42 s.	19
196s	19
205s	19
284s	19
81s	19
284, [1] s.	18
466 s.	18
145, [1] s.	18
37, [1] s.	18
218s	18
141, [1] s.	18
351s	18
36 s. & omsl.	18
279s	18
538 s.	18
93, [2] s.	18
76, [2] s.	18
86, [2] s.	18
142, [2] s.	18
60, [1] s.	18
149, [1] s.	18
[50] s.	18
275, [1] s.	18
203s	18
656 s.	18
461 s.	18
250s	18
77, [2] s.	18
49,(1)s	18
12 st.	18
13 st.	18
235, [1] s.	18
180, [1] s.	18
66, [1] s.	18
[02] , 48 s.	18
