orig	mod	comp	total
P.A. Norstedt & söner	P.A. Norstedt & Söner	P.A. Norstedt & söner	0
P.A. Norstedt & Sönerr	P.A. Norstedt & Söner		0
P.A. Norstedt & söners	P.A. Norstedt & Söner		0
P.A. Norstedts söner	P.A. Norstedt & Söner		0
Svensk läraretidning	Svensk läraretidning	Svensk läraretidning	343
Svensk läraretidnings exp	Svensk läraretidning		0
Svensk lärartidning	Svensk läraretidning	Svensk lärartidning	0
Svenska läraretidning	Svensk läraretidning	Svenska läraretidning	0
Svenska läraretidnings exp	Svensk läraretidning		0
Svenska lärartidning	Svensk läraretidning		0
Nordiska rotogravyr	Nordiska rotogravyr	Nordiska rotogravyr	326
Nordiska rotogr	Nordiska rotogravyr	Nordiska rotogr	0
Nordiska rotogrävyr	Nordiska rotogravyr		0
Hall	Hall	Hall	319
Halls	Hall	Halls	0
Magn. Bergvall	Magnus Bergvall	Magnus Bergvall	302
O. Eklund	O. Eklund	O. Eklund	302
O. Eklunds	O. Eklund	O. Eklunds	0
Southern Music	Southern Music	Southern Music	295
Southern music	Southern Music	Southern music	0
Gumpert	Gumpert	Gumpert	292
Gumperts	Gumpert	Gumperts	0
Augustana Book Concern	Augustana Book Concern	Augustana Book Concern	281
Hæggström	Häggström	Häggström	277
Hæggströms	Häggström	Häggströms	0
Häggtröms	Häggström		0
Fahlcrantz & Gumælius	Fahlcrantz & Gumälius	Fahlcrantz & Gumälius	273
Fahlcrantz & Gumaelius	Fahlcrantz & Gumälius	Fahlcrantz & Gumaelius	0
Fahlcrantz & Gummælius	Fahlcrantz & Gumälius		0
förbund	förbund	förbund	269
Kooperativa	Kooperativa	Kooperativa	266
Koopeerativa	Kooperativa		0
Kooperativa s	Kooperativa		0
Koperativa	Kooperativa		0
Kopperativa	Kooperativa		0
B.-M:	B.-M:	B.-M:	255
B-M:s	B.-M:		0
B.-M	B.-M:		0
B.-M.:	B.-M:		0
B.-M:-	B.-M:		0
B.-M:s	B.-M:	B.-M:s	0
B.-M:s-	B.-M:		0
Västra Sverige	Västra Sverige	Västra Sverige	252
