Corporate_name	Count
Sällskapet Wänskapsbröderna	2
Högre allmänna läroverket (Vänersborg)	2
Drottning Sofias stiftelse (Vänersborg)	2
Whangpoo Conservancy Board.	2
Verkstadsingeniörsföreningen i Finland	2
Österbottens historiska museum (Vasa)	2
Warkaus bruk	2
Varbergs boll- & idrottssällskap	2
Valla lånbibliotek	2
Statens torfingeniör	2
Sparbanken (Valdemarsvik)	2
Sveriges Urmakareförbunds kvinnoklubb	2
Västmanlands-Dala nation (Uppsala)	2
Västgöta nation (Uppsala)	2
Kungl. Vetenskapssocieteten (Uppsala)	2
Uppsala universitetsbibliotek	2
Svenska landsbygdens ungdomsförbund (Uppsala)	2
Studentkårens idrottskommitté (Uppsala)	2
Uppsala simsällskap	2
Orphei drängar	2
K.F.U.M. (Uppsala)	2
Göteborgs nation (Uppsala universitet)	2
Goodtemplarorden (Uppsala)	2
Domkyrkan (Uppsala)	2
Upplands köpmannaförbund	2
Svenska Uppfinnareföreningen	2
Unionen. Kvinnosaksförbund i Finland	2
Inter-Parliamentary Union	2
Lantbruksinstitut (Ultuna)	2
Landtbruksinstitut (Ultuna)	2
Ultuna landtbruksinstitut.	2
Lantbrukshögskolan (Ultuna)	2
Korporatsioon Ugala	2
Uddevalla gymnastikförening	2
Täby idrottssällskap	2
Tågarps allmänna idrottsklubb	2
Tyft Billströmska folkhögskolans bibliotek	2
Tvååkers folk- och skolbibliotek	2
Tunabergs folkbibliotek	2
Tullverket (i Finland)	2
Trollhätte kraftverk	2
Goodtemplarorden (Trollhättan)	2
Telegrafverket.	2
Kungl. Telegrafstyrelsen	2
Telegrafstyrelsen	2
Svenska Tekniska vetenskapsakademien i Finland	2
Tekniska föreningen i Finland	2
Tarifföreningen	2
Södertälje SK	2
Södermanlands idrottsförbund	2
Länslasarettet.	2
Söderhamns skärgårds idrottsförening	2
Sydöstra Sveriges tobakshandlareförening	2
Sydsvenska dövstumföreningen	2
Sverige-Amerika stiftelsen	2
Pansarbåten Sverige	2
Tegelmästareskolan (Svedala)	2
Svedala idrottsförening	2
Kungl. Svea livgarde	2
Svea ingenjörkår	2
Svartviks idrottsförening	2
Sveriges Utsädesförening (Svalöv)	2
Surahammars idrottsförening	2
Hälsovårdsnämnden (Sundsvall)	2
Gymnastik- och idrottsföreningen (Sundsvall)	2
Sundbybergs socialdemokratiska ungdomsklubb	2
Städernas allmänna brandstodsbolag i Finland	2
Stuvsta idrottsförening	2
Sveriges Studerande ungdoms helnykterhetsförbund	2
Storviks idrottsförening	2
Föreningen Storgårds-pojkarna	2
Stocksunds IF	2
Pensionerade folkskollärares riksförbund (Stockholms län)	2
Stockholms läns fiskareförening	2
Välgörande Fruntimmers-Sällskapet (Stockholm)	2
Stockholms vandrareförening	2
Liljevalchs konsthall	2
Utrikespolitiska institutet	2
Tysta skolan (Stockholm)	2
Timmermansorden (Stockholm)	2
Tekniska skolan.	2
Konstfack	2
Tekniska högskolan i Stockholm.	2
Sällskapet för främjande af kyrklig själavård (Stockholm)	2
