"","catalog","author","title","town","from","till","publisher"
"122","fennica","Runeberg, Johan Ludvig","Älgskyttarne","Suomussalmi",1900,1900,"Suomalainen Tiedeakatemia"
"123","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"Suomalainen Tiedeakatemia"
"124","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"Finska Kyrkohistoriska Samfundet"
"125","fennica","Runeberg, Johan Ludvig","Julqvällen","Suomussalmi",1900,1900,"Finska Kyrkohistoriska Samfundet"
"126","fennica","Runeberg, Johan Ludvig","Samlade arbeten","Helsinki",1900,1900,""
"127","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"s.n"
"128","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki",1900,1900,"Kloström"
"129","kungliga","Runeberg, Johan Ludvig","Älgskyttarne","Stockholm falun uppsala",1900,1900,"förening"
"130","kungliga","Runeberg, Johan Ludvig","Elgskyttarne","Helsingsissä",1900,1900,"Thule"
"131","kungliga","Runeberg, Johan Ludvig","Johan Ludvig Runebergs samlade arbeten","Helsingsissä",1900,1900,"Thule"
"132","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki turku",1900,1900,"Lindqvist"
"133","kungliga","Runeberg, Johan Ludvig","Fähnrich Stahls Erzählungen","Hamburg",1900,1900,"Schmidt"
"134","fennica","Boldt, Alexander","Register till Svenska Literatursäll ... örhandlingar och uppsatser tom. 6-10","Helsinki",1898,1898,"Viipurin Työväen sanomalehti-osuuskunta"
"135","fennica","Boldt, Alexander","Register till Svenska Literatursäll ... örhandlingar och uppsatser tom. 6-10","Helsinki",1898,1898,"Oulun kirjapaino-osakeyhtiö"
"136","kungliga","Boldt, Alexander","Ett kapitel ur Herbert Spencers uppfostringslära","Holmiæ anni mdccxx",1898,1898,""
"137","fennica","Heikel, Ivar A","Lagar, skatter och herrar","Helsinki",1899,1899,"Huvudstadsblad'in kirjapaino"
"138","fennica","Heikel, Ivar A","Om jorddelningen i Ryssland","Helsinki",1899,1899,"A.B. Ljus"
"139","fennica","Heikel, Ivar A","Lagar, skatter och herrar","Helsinki",1899,1899,"A.B. Ljus"
"140","fennica","Heikel, Ivar A","Lait, verot ja herrat","Hull",1899,1899,"Viborgs stad"
"141","fennica","Heikel, Ivar A","Maanjaosta Venäjällä","Hull",1899,1899,"Viborgs stad"
"142","fennica","Heikel, Ivar A","Talonpoikaismaat Venäjällä","Hull",1899,1899,"Valistus"
"143","kungliga","Heikel, Ivar A","Om jorddelningen i Ryssland af I.A.H. (Efter Päivälehti.","Holmiæ anni mdccxx",1899,1899,""
"144","kungliga","Heikel, Ivar A","Om jorddelningen i Ryssland","Helsingsissä",1899,1899,""
"145","kungliga","Heikel, Ivar A","Lagar, skatter och herrar","Helsingsissä",1899,1899,""
"146","fennica","Topelius, Zacharias","Gamla baron på Rautakylä","Helsinki",1897,1897,"sällskap för Finlands geografi"
"147","fennica","Topelius, Zacharias","Gamla baron på Rautakylä","Helsinki",1897,1897,""
"148","fennica","Topelius, Zacharias","Ljungars Saga","Lappeenranta",1897,1897,"C. Bertelsmann"
"149","fennica","Topelius, Zacharias","Läsebok för de lägsta läroverken i Finland","Helsinki",1897,1897,""
"150","fennica","Topelius, Zacharias","Vinterqvällar","Helsinki",1897,1897,""
"151","fennica","Topelius, Zacharias","Lukemisia lapsille","Stockholm",1897,1897,""
"152","fennica","Topelius, Zacharias","Luonnonkirja ala-alkeiskoulun tarpeeksi","Hull",1897,1897,"Karisto"
"153","fennica","Topelius, Zacharias","Rautakylän vanha parooni","Hull",1897,1897,"Suomalaisen Kirjallisuuden Seura"
"154","fennica","Topelius, Zacharias","Välskärin kertomuksia","Stockholm",1897,1897,""
