"","catalog","author","title","town","from","till","publisher"
"507","kungliga","Strindberg, August","Stora landsvägen","Stockholm falun uppsala",1909,1909,"Norstedt"
"508","kungliga","Strindberg, August","Swanwhite","Porvossa",1909,1909,""
"509","kungliga","Strindberg, August","Isä","Hernösand öhrling",1909,1909,""
"510","kungliga","Strindberg, August","Kaarle XII","Hestra",1909,1909,""
"511","kungliga","Strindberg, August","Punainen huone","Hestra",1909,1909,""
"512","kungliga","Strindberg, August","Dans les îles","Pforzheim verlag von dennig finck co",1909,1909,""
"513","kungliga","Strindberg, August","Le sacristain de Ronoe","Pforzheim verlag von dennig finck co",1909,1909,""
"514","kungliga","Strindberg, August","Entzweit","Neuchâtel",1909,1909,""
"515","kungliga","Strindberg, August","Die Inselbauern","Neuchâtel",1909,1909,""
"516","kungliga","Strindberg, August","Kameraden","Leobe",1909,1909,""
"517","kungliga","Strindberg, August","Schwedische Miniaturen","Neuchâtel",1909,1909,""
"518","kungliga","Strindberg, August","Der Sohn einer Magd","Neuchâtel",1909,1909,"Dala-Demokraten"
"519","kungliga","Strindberg, August","A boldogok szigete","Byske",1909,1909,""
"520","kungliga","Strindberg, August","Mäster Olof","Stockholm falun uppsala",1909,1909,""
"521","kungliga","Strindberg, August","Blomstermålningar och djurstycken","Stockholm falun uppsala",1909,1909,"Norstedt"
"522","kungliga","Strindberg, August","Sagor","Stockholm falun uppsala",1909,1909,"Natur & Coultur"
"523","kungliga","Strindberg, August","Författaren","Stockholm falun uppsala",1909,1909,"Norstedt"
"524","kungliga","Strindberg, August","Tjänstekvinnans son","Stockholm falun uppsala",1909,1909,"Norstedt"
"525","kungliga","Strindberg, August","Utopier i verkligheten","Stockholm falun uppsala",1909,1909,"Norstedt"
"526","kungliga","Strindberg, August","Der Egozentrische","Nestved",1909,1909,""
"527","kungliga","Strindberg, August","Der Sohn einer Magd","Berlin dresden",1909,1909,""
"528","kungliga","Strindberg, August","Svarta handsken","Stockholm falun uppsala",1909,1909,"s.n"
"529","kungliga","Strindberg, August","Mäster Olof","Stockholm falun uppsala",1909,1909,"Jämtlands-Posten"
"530","kungliga","Strindberg, August","Mäster Olof","Stockholm falun uppsala",1909,1909,"Norstedt"
