original_publisher	modified_publisher
Fröl'een	Fröleen
Frölén	Fröleen
Ekelund	Eklund
Ekelunds	Eklund
Eklundh	Eklund
Eklunds	Eklund
Idun-	Idun
Iduna	Idun
Iduns	Idun
Biller	Bille
Billes	Bille
Elanders	Elander
Nordin & Josephson i	Nordin & Josephson
Nordin & Josephsson	Nordin & Josephson
Åhlén & söner	Åhlen & söner
Åhlen & Söner	Åhlen & söner
Åhlén & Söner	Åhlen & söner
Beckmans	Beckman
H. Ohlson	H. Ohlsson
H. Ohlssons	H. Ohlsson
H. Olssons	H. Ohlsson
Svenska allians-miss	Svenska alliansmissionen
Svenska allians-missionen	Svenska alliansmissionen
Svenska alliansmiss	Svenska alliansmissionen
Svenska alliansmissionens	Svenska alliansmissionen
C.E. Fritze	C.E. Fritzes -
C.E. Fritze-	C.E. Fritzes -
Gleeruspska bokhandel	Gleerupska bokhandel
Nordisk musik	Nordiska musik
Nordiska mus	Nordiska musik
Nordiska. musik	Nordiska musik
Berlings	Berling
Ehlins	Ehlin
Seeligman	Seligmann
Seligman	Seligmann
Seligmannn	Seligmann
Nya -b	Nya -
Nya s-	Nya -
Nya s.-	Nya -
Wahlströms	Wahlström
missionsförbund	Missionsförbund
Schultze	Schultz
Schulz	Schultz
Almqvist and Wiksell/Geber	Almqvist & Wiksell/Geber
Munksgaard	Munksgård
Edlunds	Edlund
Pehrson	Pehrsson
Pehrssons	Pehrsson
Persson	Pehrsson
Ad. Johnson	Adolf Johnson
C.E. Fritzes bokhandel	C.E. Fritzes hofbokhandel
C.E. Fritzes K. hofbokhandel	C.E. Fritzes hofbokhandel
Looström & Coomp	Looström & Co
Looström & Coomp:	Looström & Co
Looström & Coomp:s	Looström & Co
Looström, & Coomp:s	Looström & Co
Johnson-	Johnson
Johnsson	Johnson
Wilhelmson	Wilhelmsson
Wilhelmssons	Wilhelmsson
Bolin	Bohlin
Svenska nykerhets	Svenska nykterhets
Svenska nykterhefs	Svenska nykterhets
Marcu	Marcus
Marcus'	Marcus
Ebvangeliska fosterlands stiftelse	Evangeliska fosterlandsstiftelse
Evangeliska fosterlands-stiftelse	Evangeliska fosterlandsstiftelse
Evangeliska fosterlandsstiftelse?	Evangeliska fosterlandsstiftelse
Evangeliska fosterlandsstitelsen	Evangeliska fosterlandsstiftelse
Evangelska fosterlandsstiftelse	Evangeliska fosterlandsstiftelse
Gummeson	Gummesson
Gummessons	Gummesson
I. Hæggström	I. Häggström
Wretmans	Wretman
Lagerströms	Lagerström
Lagerstöm	Lagerström
Allhems	Allhem
Lidfors	Lindfors
Lindfor	Lindfors
Schmidts	Schmidt
Schmidtz	Schmidt
Öst. correspondent	Östgöta Correspondenten
Östg.-correspondent	Östgöta Correspondenten
Östg. correspondent	Östgöta Correspondenten
Östg. Correspondentens	Östgöta Correspondenten
Östgöta-correspondenten	Östgöta Correspondenten
Östgöta-Correspondenten	Östgöta Correspondenten
Östgöta correspondent	Östgöta Correspondenten
Östgöta correspondenten	Östgöta Correspondenten
Smålands-Posten	Smålandsposten
Smålands-postens	Smålandsposten
Smålandspostens	Smålandsposten
Smålandspostens bok	Smålandsposten
Ehrling & Löfvenholm	Ehrling & Lövenholm
Eheling & Löfvenholm	Ehrling & Lövenholm
Ehrling & Löfwenholm	Ehrling & Lövenholm
Nordiska muséet	Nordiska museet
Frälsningsarméns högkvarter	Frälsningsarmens högqvarter
Frälsnings-arméns högkvarter	Frälsningsarmens högqvarter
Birkagården,	Birkagården
Norden,	Norden
Norén	Norden
Svenska teknologför	Svenska teknologförening
Svenska teknologför.	Svenska teknologförening
Svenska teknologför:	Svenska teknologförening
Svenska teknologfören:	Svenska teknologförening
Svenska teknologförening:	Svenska teknologförening
Svenska teknologiförening	Svenska teknologförening
Gyldenhal	Gyldendal
Huldbergs	Huldberg
Huldtberg	Huldberg
Arbetaren	Arbetarne
Arbetarna	Arbetarne
Arbetarnes	Arbetarne
Loofström	Looström
Westerbergs	Westerberg
Sveriges kristliga studenrörelse	Sveriges kristliga studentrörelse
Sveriges kristliga studentrörelser	Sveriges kristliga studentrörelse
Sveriges kristliga studentörelse	Sveriges kristliga studentrörelse
Lindhs	Lindh
Ad. Bonnier	Adolf Bonnier
F. & G. Beijers aktb	F. & G. Beijers -aktb
Frihets	Frihet
Lindstedts universitets bokhandel	Lindstedts universitetsbokhandel
Lindstedts universitetsBokhandel	Lindstedts universitetsbokhandel
Norrköpings tidningar	Norrköpings tidning
Norrköpings tidningar-tr	Norrköpings tidning
Norrköpings tidningars	Norrköpings tidning
Gernandts	Gernandt
