original_publisher	modified_publisher
Södertörns tidning-	Södertörns tidning
Södertörns tidning:s	Södertörns tidning
Telegrafverket	Telegraverket
Thule-bolagen	Thulebolagen
Typogr. anstalt	Typ. anstalte
Typogr. anstalte	Typ. anstalte
Törnequist	Törnqvist
University press	University Press
Wennergren-William	Wennergren-Williams
Värmlands	Värmland
Öresunds-Posten	Öresunds-posten
Öresunds-Posten-	Öresunds-posten
Öresunds posten	Öresunds-posten
Öresundsposten	Öresunds-posten
Öresundspostens	Öresunds-posten
Ahlberg & Lundquist	Ahlberg & Lundqvist
Barnvännen	Barnavännen
Biografisk galleri	Biografiskt galleri
Bokindustri	Bokindustri-
Bokindustri-:s	Bokindustri-
C. Rasmussensbokhandel	C. Rasmussens bokhandel
Dragspels-	Dragspels
E. Ericsons bokhandel	E. Ericssons bokhandel
E. Wessmann	E. Wessman
Eberling	Ebeling
Erikson	Eriksson
Erikssons	Eriksson
Esaias Edquist	Esaias Edqvist
F.A.-press	F. A.-press
Folkbiblad	Folkblad
Fornstedts	Fornstedt
Frenckell & son	Frenckell & Son
Gefle dagblad	Gefle Dagblad
General motors nordiska	General Motors Nordiska
General motors Nordiska	General Motors Nordiska
Gust. Lindström	Gustav Lindström
H. Brusewitz	H. Brusevitz
Haparanda-Tornedalen-	Haparanda-Tornedalen
Hermod	Hermods
Hið íslenzka fornritafélag	Hið íslenzka fornritafelag
Hudiksvall bok-	Hudiksvalls bok
Hudiksvalls bok-	Hudiksvalls bok
Hudiksvallsbok-	Hudiksvalls bok
Hälsovännen-exp	Hälsovännensexp
Hälsovännens exped	Hälsovännensexp
Hälsovännensexped	Hälsovännensexp
Institut suédois	Institut suedois
J. Kronwall	J. Kronvall
J. Cronvall	J. Kronvall
Joh. A. Svensson	Johan A. Svensson
Joh. Beckman	Johan Beckman
Jæger	Jäger
Kjellman & Bothvidsson	Kjellman & Bothvidson
Krigsvetenskaps-akademien	Krigsvetenskaps-akad
Krigsvetenskapsakad	Krigsvetenskaps-akad
Kungliga Vitterhets-, historie- & antikvitetsakademien	Kungliga Vitterhets-, historie- & antiqvitetsakademien
Lindensteins	Lindenstein
Lindgren & Söner	Lindgren & Söners
Lundins bokhandel	Lundgrens bokhandel
Läns-demokraten	Läns-Demokraten
Malmrots	Malmrot
Norrköping-	Norrköping
Norrköpings	Norrköping
Norstedt, Svenska	Norstedt/Svenska
Peterson & Co	Petersson & Co
Princeton university press	Princeton University Press
Rasmusson & Hansén	Rasmusson & Hansen
Rietz bokhandel	Rietz' bokhandel
Riksförening för svenskhetens bevarande i utl	Riksförening för svenskhetens bevarande i utlandet
Sago-konst	Sagokonst
Sanningsvittnet-exp	Sanningsvittnets exp
Sanningsvittnets exped	Sanningsvittnets exp
Sanningsvittnetsexp	Sanningsvittnets exp
Socialdemokratiska arbetarpartiet	Socialdemokratiska arbetarepartiet
Stockholms arbetarekommun & Fram	Stockholms arbetarekommun
Strömberg & Åhlén	Strömberg & Åhlen
Strömberg & Åhléns	Strömberg & Åhlen
Sundquist	Sundqvist
Sunesson bokhandel	Sunessons bokhandel
Sveatr	Svea-tr
Swedish Book Co	Svedish Book Co
SydSvenska bok- & musik	Svenska bok- & musik
Swings sportdepå	Svings sportdepå
The Swedish institute	The Svedish institute
tidning Barometerns	tidning Barometern
tidning f. Skar. län	tidning f. Skarorgs län
Turitz & co	Turitz & Co
Töpels	Töpel
Ungdomens veckopost	Ungdomens Veckopost
Ungdomens veckoposts	Ungdomens Veckopost
Universal P	Universal
Uplands nation	Upplands nation
W. Williamson,	W. Williamson
Wessman & Pettersons bokhandel	Wessman & Petterssons bokhandel
'Vestkusten	Vestkusten
Vestkustens	Vestkusten
Vänersborgs bokhandel-	Vänersborgs bokhandel
Västmanlands allehandas	Västmanlands allehanda
yckeri	yckeri-
s- Norden	- Norden
A. Johansson	A. Johnson
A.B. Petersson	A.B. Peterson
Arbetarnes bildnings	Arbetarnas bildnings
Bennel & co	Bennel & Co
Bergsten	Bergstens
Bild-konst	Bildkonst
Billow	Billov
Bokvännerna	Boqvännerna
Breitkopf und Härtel	Breitkopf & Härtel
Bridgeakademien	Bridgeakademin
C. Deléen & Co	C. Deleen & Co
Dagens nyheter	Dagens Nyheter
Delén	Deleen
Eldona societo Esperanto	Eldona societo esperanto
Eldona societo esperanto 1953	Eldona societo esperanto
Englund	Englunds
K. Generalpoststyrelse	Generalpoststyrelse
Gruppverksamheten	Gruppverksamheten, KF
Gruppverksamheten, K	Gruppverksamheten, KF
Gruppverksamheten. KF	Gruppverksamheten, KF
Göteborgs-tr	Göteborgstr
H. Löjdquist	H. Löjdqvist
Hj. Sundström	Hjalmar Sundström
Hvar 8 Dag	Hvar 8 dag
Hvar 8:e dag	Hvar 8 dag
'Hyresgästernas'	Hyresgästerna
Hyresgästerna-	Hyresgästerna
Hyresgästernas-	Hyresgästerna
K. M. A:	K. M. A
Klemmings antikvariat	Klemmings antiqvariat
Landsförening för kvinnans politiska rösträtt	Landsförening för qvinnans politiska rösträtt
Lindgren & söners	Lindgren & söner
Lithografiska	Littografiska
Litografiska	Littografiska
Löjdquist	Löjdqvist
Löjdquists	Löjdqvist
B. M:s -	M. B:s -
Malmbergs	Malmberg
Moderna. språk	Moderna språk
Motorförarnas helnykterhetsförbund	Motorförarnas helnykterhets
N. O .V:	N. O. V:
Nordiska kultur	Nordisk kultur
Nordiska bibelför:n	Nordiska bibelfören:
Norrlands-Postens	Norrlands-Posten
Norrländska socialdemokraten	Norrländska Socialdemokraten
P. Alfr. Person	P. Alfred Person
Piteåtidning	Piteå-tidning
Påhlssons	Påhlson
R. Ericsson, bokhandel	R. Ericssons bokhandel
R. Ericssons bokhandel distr	R. Ericssons bokhandel
Riksutskottet för de kristnas nykterhetsrör	Riksutskottet för de kristnas nykterhetsrörelse
S.L.U	S.L.U:
Sjöbergs	Sjöberg
Skandinaviska släkt-studie-samfund	Skandinaviska släkt studie samfund
Skandinaviska släktstudiesamfund	Skandinaviska släkt studie samfund
Strokirks bokindustri-	Strokirks bokindustri
Swederus	Svederus
Swedish Baptist General Conference of America	Svedish Baptist General Conference of America
Svenska journalen, Hemmet & familjen	Svenska journalen/Hemmet & familjen
Svenska lektyr-	Svenska lektyr
Sveriges blåbandsfören:	Sveriges blåbandsförening
Sveriges blåbandsföreningars exp	Sveriges blåbandsförening
Sveriges blåbandsförenings exp	Sveriges blåbandsförening
Sveriges folkskollärareförbund	Sveriges folkskollärarinneförbund
Sveriges lärar	Sveriges läkar
U. Fredriksson	U. Fredrikson
Uplands fornminnesförening	Upplands fornminnesförening
Wald, Zachrissonyckeri	Wald. Zachrissonyckeri
Wallén	Wallen
Walldén	Wallen
Walléns	Wallen
Wallén & Co	Wallen & Co
Wallén & Co:s	Wallen & Co
Vetenskaps- & vitterhetssamhället	Vetenskaps- & vitterhets-samhället
Wickström	Wikström
Wingborgs	Wingborg
Världsfredsmissionen	Världsfredsmissionens exp
Västerbottenskuriren	Västerbottens-Kurirens
Västerbottenskurirens	Västerbottens-Kurirens
- & tidning-a/b	- & tidning a/b
A. Anderson	A. Andersson
A. Ohldén	A. Ohlden
Ahlströms	Ahlström
Appeltoffts	Appeltofft
Arbetare-kuriren	Arbetare-Kuriren
Berndtsson	Berndtson
Béwe	Beve
Bewe	Beve
Bibliska traktatsällskap	Bibliska traktat sällskap
'Blekinge	Blekinge
Blekinge musei- & hembggdsförbund	Blekinge musei- & hembygdsförbund
Borre	Borres
Centralkommittén för det frivilliga försvarsarbetet	Centralkommitten för det frivilliga försvarsarbetet
Chelius & co	Chelius & Co
Chilesalpeter kommittén	Chilesalpeter kommitten
drätselkontoret	Drätselkontoret
Edv. Berling	Edvard Berling
Ekenä	Ekenäs
Eksjö-tidning red	Eksjö-tidning
Eksjötidning	Eksjö-tidning
Engvall	Envall
Es. Edquist	Esaias Edqvist
Ewald	Evald
Fosterland-stiftelse	Fosterl-stiftelse
Fosterland.-stiftelse	Fosterl-stiftelse
Fosterlandstiftelse	Fosterl-stiftelse
Frälsningsarméns studieförbund	Frälsningsarmens studieförbund
Generalstb. litografiska anstalte	Generalst. litografiska anstalte
Göteborgs högsk	Göteborgs högskola
Hallwylska museet	Hallvylska museet
Hallwylska mus	Hallvylska museet
hamnstyrelse	Hamnstyrelse
Hermods korrespondens-institut	Hermods korrespondensinst
Hermods korrespondensinstitut	Hermods korrespondensinst
Hj. Kinbergsexp	Hjalmar Kinbergsexp
Hj. Petersson	Hjalmar Petersson
Blombergska bokhandel	Holmbergska bokhandel
Hultbergs	Hultberg
Idrottsförening kamraterna	Idrottsförening Kamraterna
Industri	Industritr
Industri-tr	Industritr
Joh. Högborg	Johan Högborg
Jos. Seligmann	Josef Seligmann
Landers	Lander
Landskommunernas blankett. &	Landskommunernas blankett- &
Lantarbetarförb:	Lantarbetarförbund
Landtbruksakad	Lantbruksakad
Lundberg & Olxzon	Lundberg & Olzon
Lidbergs bokhandel	Lundbergs bokhandel
Marquard	Marqvard
Merkantiltr	Merkantil-tr
Motala affärs-tryck	Motala affärstr
Museum of Far Eastern antiquities	Museum of Far Eastern antiqvities
Nationalsocialist, arbetarepartiet	Nationalsocialist. arbetarepartiet
Norrköp. tidning	Norrk. tidning
Nya dagliga Allehanda	Nya dagligt allehanda
Nytt nordiskt	Nyt nordisk
O. Erikssons bokhandel	O. Eriksons bokhandel
Oskarshamns-Bl	Oskarshamns-Bladet
Oskarshamns-Bladets	Oskarshamns-Bladet
P.A. Nymans eftr	P.A. Nymans eftertr
Skarorgstidning	Skarorgs-tidning
Skellefteå	Skellefteå -
Slöjdfören:s skola	Slöjdförenings skola
Societas pro fauna et flora fennica	Societas pro fauna et flora Fennica
Societas scientiarum Fennicæ	Societas scientiarum Fennica
Statens nämnd för utgivare av förvaltningsrättsliga publikationer	Statens nämnd för utgivande av förvaltningsrättsliga publikationer
Stockholms högsk.:s juridiska förening	Stockholms högsk:s juridiska fören:
Stockholms högsk:s juridiska förening	Stockholms högsk:s juridiska fören:
Svensktyska litteratursällskap	Svensk-tyska litteratursällskap
Svenska sjukskötersketidning	Svensk sjukskötersketidning
Svenska hjälpkommittén för Spanien	Svenska hjälpkommitten för Spanien
Svenska ido	Svenska ido-
Svenska M.E. bokhandels-förening	Svenska M.E. bokhandels-fören:
Svenska M.E. bokhandels fören:	Svenska M.E. bokhandels-fören:
Svenska institutet	Svenska väginstitutet
Sveriges hantverks- & småindustriorg	Sveriges hantverks- & småindustriorganisation
Sydsvenska biljet	Sydsvenska biljettr
Sydsvenska biljett	Sydsvenska biljettr
Sydsvenska biljetter	Sydsvenska biljettr
Söndagskol	Söndagsskol
Söndagsskole	Söndagsskol
Thiele	Thieles
Thiels	Thieles
Tidaholm-	Tidaholm
tidning- Västmanlands	tidning- Västmanland
tidning Västmanland	tidning- Västmanland
tidning Västmanlands	tidning- Västmanland
Tranås typogr. anstalt	Tranås typogr. anstalte
Tranås typograf. anstalte	Tranås typogr. anstalte
Trübner	Trybner
Umeå affärstryck	Umeå affärstr
Utrikesdep:t	Utrikesdep
W. Hartelius' bokhandel	W. Hartelius bokhandel
Waerlands månadsmagasin	Waerlands månads-magasin
Wezäta, Göteborgslitografiska	Wezäta, Göteborgslitografen
Wibergska musik	Wiberghska musik
Yale university press	Yale University Press
Yrkesskolan för bokhandtverk	Yrkesskolan för bokhantverk
Åhlén & Åkerlund/Bonnier	Åhlen & Åkerlund/Bonnier
Ålandskommittén	Ålandskommitten
Almkvist & Bengtsson	Almqvist & Bengtsson
Anglic fund	Anglic Fund
Aug. Rietz	August Rietz
Bengtsons lit.a.b	Bengtsons lit.
Bergmans saffär	Bergmans -affär
Blomquists	Blomqvist
Bok- & tidskrift	Bok & tidskrift
Borup	Bosrup
bröderna Ohlsén	bröderna Ohlsen
By & Bygd	By & bygd
Bärgslags-postens	Bärgslagsposten
Böckernas biblioteket-	Böckernas biblioteks
C. & E. Gernand	C. & E. Gernandt
C.F. Arwidsson	C.F. Arvidsson
C.F. Arfwidsson	C.F. Arvidsson
C.M. Thimgren	C.M. Timgren
Cambridge universitets press	Cambridge universitets Press
Cronquists bokhandel	Cronqvists bokhandel
Cronquists bokhandel 	Cronqvists bokhandel
Dalladet	Dalladets
E. lindenstein	E. Lindenstein
Edsbyns accidens	Edsbyns accidenstr
Edsbyns accidenstr:	Edsbyns accidenstr
Effelve	Effellve
Ejnar Munksgaard	Ejnar Munksgård
Ekmansexp	Ekmansexped
Elkan & Schildknecht, Carelius	Elkan & Schildknecht, E. Carelius
Engelbrekts	Engelbrekt
Erik Franzén	Erik Franzen
Finland	Finlandia
Finska missionssällskspet	Finska missionssällskap
Fosterlandsstiftelse s-expedition	Fosterlandsstiftelses-expedition
Fosterlandsstiftelses-Expedition	Fosterlandsstiftelses-expedition
Frälsningsarméns handelsdepartement	Frälsningsarmens handelsdepartement
Förenade er	Förenade en
-förening Norrland	förening Norrland
Globe	Glob
Gotlands folkblad	Gotlands Folkblad
Gumælius	Gumälius
Hagström & Westerberg	Hagström & Westberg
Hallman & Hellins	Hallman & Helin
Harrassowitz	Harrassovitz
Harvard university press	Harvard University Press
Hasselkvist	Hasselqvist
Hasselkvists	Hasselqvist
Herzog & Söner	Herzog & söner
Hj. Ewerlöf	Hjalmar Everlöf
Hj. Möllers bokhandel, Fr. W. Remahl	Hjalmar Möllers bokhandel, Frederic W. Remahl
Holger-	Holger
Houghton, Mifflin	Houghton Mifflin
Israels vän	Israels vänner
J.W. Löfving	J.W. Löving
J.W. Löfwing	J.W. Löving
Joh. Lundell	Johan Lundell
Jurid. förening	Jur. förening
K.E. Berg	K.E. Bergh
Kommittén för ökad kvinnorepresentation	Kommitten för ökad qvinnorepresentation
kommunalkontoret	Kommunalkontoret
kooperativa kvinnogillesförbund	kooperativa qvinnogillesförbund
Kooperativa kvinnogillesförbund	kooperativa qvinnogillesförbund
Kronobergarens	Kronobergaren
Krooner	Kroonder
Kungliga automobil-klubben	Kungliga automobilklubben
Kungliga järnvägsstyrelse	Kungliga Järnvägsstyrelse
Kungliga landtbruksakademien	Kungliga Landtbruksakademien
Kungliga medicinalstyrelse	Kungliga Medicinalstyrelse
Lantbrukshögsk	Lantbrukshögskolan
Lantmännens förening	Lantmännen-förening
Ljung	Ljungs
Longmans, Green and co	Longmans, Green, and Co
Longmans, Green and Co	Longmans, Green, and Co
Malmö grafiska anstalte	Malmö grafiska anstalt
Mattsons bokhandel	Mattssons bokhandel
Merkantila	Merkantil
Norders bokhandel	Nord bokhandel
Nordiska bokindustri	Nordiska bokindustri-
Nya -bol	Nya bol
O. Alström	O. Ahlström
O. Anderson	O. Andersson
P.A. Nymans	P.A. Nyman
Ph. Lindstedts bokhandel	Philip Lindstedts bokhandel
Ph. Lindstedts universitets bokhandel	Philip Lindstedts universitets bokhandel
Riksidrottsförb:	Riksidrottsförbund
S. M. U	S. M. U:
S.A.C	S.A.C:
Schwedisches Institut	Schvedisches Institut
Skandinaviska kreatursförsäkr.-bol	Skandinaviska kreatursförsäkringsbol
Skandinaviska kreatursförsäkringsbolaget	Skandinaviska kreatursförsäkringsbol
Skandinaviska sexpeditonen	Skandinaviska sexpeditionen
Société finno-ougrienne	Societe finno-ougrienne
Sollefteå-blad	Sollefteåblad
Sollefteåbladets	Sollefteåblad
Statens växtskyddsanstalte	Statens växtskyddsanstalt
Stockholms högsk	Stockholms högskola
Stockholms köpmanklubb	Stockholms köpmansklubb
Ståls	Stål
Svenska biblioteket	Svenska biblioteks
Svensk försäkringsårsbok	Svenska försäkrings-årsbok
Svenska lantarbetarförbund	Svenska lantarbetareförbund
Svensk motortidning	Svenska motortidning
Svenska . Philips	Svenska Philips
Sveriges allmänna folkskollärarförening	Sveriges allmänna folkskollärareförening
Sveriges allmänna sjukkasseförbd	Sveriges allmänna sjukkasse
Sveriges allmänna sjukkasseförbund	Sveriges allmänna sjukkasse
Sveriges filatelistförening	Sveriges filatelist-förening
Sveriges kyrkliga studie	Sveriges kyrkliga studie-
Sveriges landtmätareförening	Sveriges lantmätareförening
Sveriges nykterhetsvänners landsförbund	Sveriges nykterhetsvänners lands
Swing	Sving
Såningsmannens	Såningsmannen
Tekniska högsk	Tekniska högskolan
University of Illinois	University of Illinois Press
University of Illinois press	University of Illinois Press
Wahlström & c	Wahlström & C
Walles' bokhandel	Walles bokhandel
Gimbergs bokhandel	Wibergs bokhandel
Vitterhets-, historie- & antikvitetsakad	Vitterhets-, historie- & antiqvitetsakad
Vitterhets historie & antikvitets akademien	Vitterhets-, historie- & antiqvitetsakad
A. Fr. Envalls bokhandel	A. Frederic Envalls bokhandel
Allmänna pressbol	Allmänna pressbolaget
Ateneum	Atheneum
Aug. Jacobsons bokhandel	August Jacobsons bokhandel
Baltiska kommittén	Baltiska kommitten
Borås kliché & litografiska	Borås kliche & litografiska
Centralkommittén för fältsport	Centralkommitten för fältsport
Ch. Jansson	Ch. Janson
Chr. Törnequist	Christian Törneqvist
Collin & Ziekerman	Collin & Zickerman
de Lavals ångturbin	De Lavals ångturbin
Deléen & Co	Deleen & Co
Dybwad	Dybvad
Ed. LA	Ed. L-A
f. litt. på främm. språk	f. litt. på främmande språk
Flammén & Westerlund	Flammen & Westerlund
Folkhushållningskommissionen, Upplysningsavdelning	Folkhushållningskommissionens upplysningsavdelning
förening för arbetareskydd	förening för arbetarskydd
förening för Fiskpropaganda	förening för fiskpropaganda
förening Malmö museivänner	förening Malmö musei vänner
G. Wallén	G. Wallen
Gyldenadal norsk	Gyldendal norsk
Göteborgs skolresekommitté	Göteborgs skolresekommitte
H. Bukowski	H. Bukovski
Hasselkvists bokhandel	Hasselqvists bokhandel
Hj. Appeltofft	Hjalmar Appeltofft
Hj. Hallin	Hjalmar Hallin
Holmquistyckeri	Holmqvistyckeri
Hugo Brusewitz	Hugo Brusevitz
Helsinglands fornminnessällskap	Hälsinglands fornminnessällskap
Is. Kjellberg	I. Kjellberg
Idé & form	Ide & form
Inst. för folklivsforskn	Inst. för folklivsforskning
Ivar Baarsen	Ivar Bårsen
Ivar Hæggströmyckeri	Ivar Häggströmyckeri
Iwe	Ive
J. Bagges söners	J. Bagges söner
Jacob Dybwad	Jacob Dybvad
Jacobson	Jacobsson
Jonssons	Jonsson
Josephsons antikvariat	Josephsons antiqvariat
K.F.U.M.:	K.F.U.M
K.W. Appelbergs	K.W. Appelberg
Kihlström & Setréus	Kihlström & Setreus
Kliché- & -	Kliche- & -
Kommittén	Kommitten
Konjunkturinstutet	Konjunkturinstitutet
L:s Gust. Rylander	L:s Gustav Rylander
Larsson	Larssons
Linköpings lithografiska	Linköpings litografiska
Lits hembygdsfören:	Lits hembygdsförening
Littorin Rydéns	Littorin Rydens
Littorin & Rydéns	Littorin Rydens
Lyrika	Lyrik
Löwgren	Lövgren
M. Larsson?	M. Larsson
N.H. Thomsom	N.H. Thomson
Nordiska idrottslif	Nordiska idrottslifs
Noréns korrespondensinstitut	Norens korrespondensinstitut
Noréns korrespondens-institut	Norens korrespondensinstitut
Norstedt. Skolmaterialavdelning	Norstedt. Skolmateriellavdelning
Nya wecko-posten	Nya vecko-posten
Nya veckoposten	Nya vecko-posten
Nykterhets-orden Verdandi	Nykterhetsorden Verdandi
Nässjö -	Nässjö
Olins antikvariat	Olins antiqvariat
Palmblad, Sebell & C	Palmblad, Sebell
Rob. In de Betou	R. In de Betou
Rud. Frennesson	Rudolf Frennesson
Samorganisation	Samorganisationen
Samuelson	Samuelsson
Schønberg	Schönberg
Sklizen svobodné tvorby	Sklizen svobodne tvorby
Société néophilologique	Societe neophilologiqve
Stockholms fackliga kvinnliga samorganisation	Stockholms fackliga qvinnliga samorganisation
Stockholms högskolas juridiska förenening	Stockholms högskolas juridiska förening
Succémelodier	Succemelodier
Succ'emelodier	Succemelodier
Sundberg	Sundbyberg
Swedish Institute	Svedish Institute
Swedish Publad Co	Svedish Publad Co
Swedish Science Press	Svedish Science Press
Svegs bok & pappersh	Svegs bok & pappershandel
Svenska målaretidning	Svensk målaretidning
Svenska jägar	Svenska jägare
Svenska kristliga studentrörelse	Svenska Kristliga studentrörelse
Svenska landsbygdens ungdoms	Svenska landsbygdens ungdomsförbund
Sveriges juvelerare- & guldsmeds	Sveriges juvelerare- & guldsmedsförbund
Sveriges lärares nykterhets	Sveriges Lärares Nykterhets
Söderköping-a.b	Söderköping-
Torssell	Torsell
Trio-	Trio
Uppsala läns hushållningssällskap försökskommitté	Uppsala läns hushållningssällskap försökskommitte
Upsala univ	Uppsala univ
Wilh. Silén	Wilh. Silen
Wretman bok	Wretmans bok
Värml. Dagblads	Värml. Dagbl:s
Västgöta-Dals	Västgöta-Dal
Ö. Håkansson	Ö. Håkanson
Östasiatiska museet	Östasiatiska mus
Östhammar tidning	Östhammars tidning
Akademiska bok Edv. Berling	Akademiska bok Edvard Berling
Alb. Fagerberg	Albert Fagerberg
Alb. Nilson	Albert Nilson
Alex. Dahl	Alexander Dahl
Alfr. Andersson	Alfred Andersson
Antiqua	Antiqva
Armébokförrådet	Armebokförrådet
Aug. Rietz bokhandel	August Rietz bokhandel
Barkén	Barken
Barkéns bokhandel	Barkens bokhandel
Björcks antikvariat	Björcks antiqvariat
Bukowskis konsthandel	Bukovskis konsthandel
Cederquists graf.	Cederqvists graf.
Damernas mönsterateljé	Damernas mönsteratelje
Damm & søn	Damm & sön
E. Franzén	E. Franzen
Franzén & Wenström	Franzen & Wenström
Fr. Aldor	Frederic Aldor
Fr. Apelqvist	Frederic Apelqvist
Frikyrkliga samarbetskommittén	Frikyrkliga samarbetskommitten
förening Armé- & marinfilm	förening Arme- & marinfilm
författare, Rén & Sjögren, Veckotidning Vi	författare, Ren & Sjögren, Veckotidning Vi
Groth & Petré	Groth & Petre
Gust. Carlsons bokhandel	Gustav Carlsons bokhandel
Gust. Thorén	Gustav Thoren
Gutenwiks bokhandel	Gutenviks bokhandel
Hammaréns bokhandel	Hammarens bokhandel
Hið íslenzka bókmentafélag	Hið íslenzka bókmentafelag
Hið íslenzka bókmenntafélag	Hið íslenzka bókmentafelag
Hj. Appeltoffts bokhandel	Hjalmar Appeltoffts bokhandel
Hj. Rangman	Hjalmar Rangman
Hugo Karlén	Hugo Karlen
Hufvudstadsblad	Huvudstadsblad
Haase	Håse
Indiska nationalkommittén	Indiska nationalkommitten
Intern. kvinno för fred & frihet	Intern. qvinno för fred & frihet
Internationella kvinno för fred & frihet	Internationella qvinno för fred & frihet
Isaac Marcus' bok-	Isåc Marcus' bok-
Isaac Marcus' Bok-	Isåc Marcus' Bok-
Isaac Marcuyckeri-	Isåc Marcuyckeri-
Ivar Hæggströms -	Ivar Häggströms -
Ivar Hæggströms bok- & -	Ivar Häggströms bok- & -
J. Cederquist	J. Cederqvist
J. Simelii arfvingar	J. Simelii arvingar
K. Krüger-Hansson	K. Kryger-Hansson
Kliché-	Kliche-
Kungliga Vitterhets-, historie- & antikvitetsakad	Kungliga Vitterhets-, historie- & antiqvitetsakad
Kungliga Vitterhets historie & antikvitetsakademien	Kungliga Vitterhets historie & antiqvitetsakademien
Kungliga vitterhets historie & antikvitetsakademien	Kungliga Vitterhets historie & antiqvitetsakademien
Kungliga vitterhets historie & antiqvitets akademien	Kungliga Vitterhets historie & antiqvitetsakademien
Kaaristo	Kåristo
Legatus Arnamagnæani	Legatus Arnamagnäani
Lundequistiska Bokhandeln	Lundeqvistiska Bokhandeln
Lundequistska Bokhandeln	Lundeqvistska Bokhandeln
Møllers bogtr	Möllers bogtr
Newteller's	Nevteller's
Nya folkviljan	Nya folqviljan
Ph. Maass	Philip Måss
Rén	Ren
Rich. Ericssons bokhandel	Richard Ericssons bokhandel
Rowohlt	Rovohlt
Rydén	Ryden
Rydéns	Ryden
röderna Lundquist musik	röderna Lundqvist musik
röderna Lundquists musik	röderna Lundqvist musik
S. Gumælius annonsbyrå	S. Gumälius annonsbyrå
S. Rygaards annonsbyrå	S. Rygårds annonsbyrå
Schønbergske	Schönbergske
Simelii arfvingar	Simelii arvingar
Socialdemokr. kvinnoförbund	Socialdemokr. qvinnoförbund
Société Finno-ougrienne	Societe Finno-ougrienne
Statens kommitté för byggnadsforskning	Statens kommitte för byggnadsforskning
Stjernan & spirans expedition 	Stjernan & spirans expedition
Swedenborgs minneskyrkas bokrum	Svedenborgs minneskyrkas bokrum
Swedish Canadian Publad Co	Svedish Canadian Publad Co
Svenska Linné-sällskap	Svenska Linne-sällskap
Svenska skolmaterial G. Saietz	Svenska skolmateriel Gunnar Saietz
Svenska skolmateriel G. Saietz	Svenska skolmateriel Gunnar Saietz
Sveriges socialdemokratiska kvinnoförbund	Sveriges socialdemokratiska qvinnoförbund
Sveriges socialdemokratiska kvinno	Sveriges socialdemokratiska qvinnoförbund
T. Wahledow	T. Wahledov
Tegnér	Tegner
tryckt hos Joh. Beckman	tryckt hos Johan Beckman
Vict. Petterson	Victoria Petterson
Vieweg	Vieveg
Wilén	Wilen
Wildén	Wilen
Vitt. hist. & antikvariska-akad	Vitt. hist. & antiqvariska-akad
World Jewish congress relief and rehilitation dep	World Jevish congress relief and rehilitation dep
Österns weckoblad	Österns veckoblad
Österns weckoblads exp	Österns veckoblad
A. Müller	A. Myller
A. Petré & sonyckeri	A. Petre & sonyckeri
A. Wildén	A. Wilden
A.W. Brøgger	A.W. Brögger
Alb. Cammermeyer	Albert Cammermeyer
Alb. Lindstrands musikhandel	Albert Lindstrands musikhandel
Almén	Almen
Alméns	Almens
Armémuseum	Armemuseum
Armésten	Armesten
Arnéto	Arneto
Atomkommittén	Atomkommitten
Ax. Eliasson	Axel Eliasson
Ax. Holmström	Axel Holmström
Axel Wallén	Axel Wallen
B. Lundquist	B. Lundqvist
B. Rud. Hall	B. Rudolf Hall
B. Schwe & co	B. Schve & co
Beijer, Fahlcrantz & Gumælius	Beijer, Fahlcrantz & Gumälius
Boquist	Boqvist
Bröderna Ohlséns	Bröderna Ohlsens
bröderna Ohlséns bokhandel	bröderna Ohlsens bokhandel
Büchergilde Gutenberg	Bychergilde Gutenberg
Baarsen	Bårsen
C. Thorsén	C. Thorsen
Carl Delén	Carl Delen
Centralkommittén	Centralkommitten
Centralkommittén för Gustav-Adolfsfonden för de svenska kulturminnesmärkenas vård	Centralkommitten för Gustav-Adolfsfonden för de svenska kulturminnesmärkenas vård
Commonwealth Fund	Commonvealth Fund
Cromwell Music	Cromvell Music
Deutsche Buchwerkstätten	Deutsche Buchverkstätten
Diesterweg	Diesterveg
E. Th. Ericsson	E. Thorvald Ericsson
Edquist & Co	Edqvist & Co
Edv. Berlingyckeri	Edvard Berlingyckeri
Elwert	Elvert
Emecé Editores	Emece Editores
Em. Giron	Emil Giron
Eug. Wingård	Eugen Wingård
Ewe	Eve
Evropský Literární Klub	Evropský Literarní Klub
Eyre & Spottiswoode	Eyre & Spottisvoode
F. Lewis	F. Levis
Fattigvårdslagstiftningskommittén	Fattigvårdslagstiftningskommitten
Fisher Unwin	Fisher Unvin
Folkskolesem. f. kvinnliga elever	Folkskolesem. f. qvinnliga elever
Franzén	Franzen
förening Armémusei vänner	förening Armemusei vänner
förening Svenska skydds- & sjukvårdshunden	förening Svenska skydds- & sjuqvårdshunden
förening Ungdomens wänner, Augustana College	förening Ungdomens vänner, Augustana College
G. Cromnow	G. Cromnov
G. Duckworth	G. Ducqvorth
G. Thorén	G. Thoren
G.A. Törnkvist	G.A. Törnqvist
Gjörwell	Gjörvell
Graal	Grål
Gumælius annonsbyrå	Gumälius annonsbyrå
Gust. Chelius	Gustav Chelius
Günther & Bäck	Gynther & Bäck
H.O. Boquist	H.O. Boqvist
Hallén	Hallen
Halléns	Hallens
Hawkinson & Engberg	Havkinson & Engberg
Henr. Sandberg	Henrik Sandberg
Hj. Hedengrens bokhandel	Hjalmar Hedengrens bokhandel
