publication_place	Count
são paulo	21
Hamina	20
edsbyn	20
hessleholm	20
san francisco	20
h fors	20
kramfors	20
gränna	20
würzburg	20
wimmerby	20
Uusikaarlepyy	20
upsaliæ apud johan edman reg acad typogr	20
upsaliæ litteris joh fr edman reg acad typogr	19
skillingaryd	19
nancy	19
bologna	19
Rotterdam	19
riga	19
fagersta	19
kungsgård	19
genova	19
leningrad	19
berkeley	19
méxico	19
Poznan	19
södertelje	18
upsaliæ l m höjer reg acad typogr	18
Aalborg	18
torsby	18
kungsbacka	18
lipsiæ	18
langensalza	18
wildpark potsdam	18
åbo joh christoph frenckell	17
Vilnius	17
göteborg göteborg göteborg	17
skeninge	17
hallsberg	17
gnesta	17
Manchester	17
duvbo	17
assen	17
upsalæ	17
wästeråhs	17
götheborg samuel norberg	16
avesta	16
Augsburg	16
Amersfoort	16
götheborg sam wahlström	16
götheborg hoos amund grefwe åhr	16
storvik	16
vansbro	16
kallinge	16
graasten	16
upsaliæ zeipel palmblad	16
princeton	16
liège	16
Rouen	16
götabro	16
Lahti	16
düsseldorf	16
gåseberg	16
hyltebruk	16
krylbo	16
slågarp	16
fjälkestad	16
strömsund	15
Dublin	15
ålsten	15
åseda	15
Cleveland OH	15
kaupmannahöfn	15
westerås r björkbom	15
Glasgow	15
Erlangen	15
havniæ	15
gamleby	15
bjärnum	15
spånga	15
lessebo	15
bodafors	15
Visingsborg	15
Ottawa	14
Cassel	14
tingsryd	14
linköping axel petre	14
aboæ joh christoph frenckell	14
Louvain	14
torshälla	14
älvdalen	14
Erfurt	14
stocksund	14
korsnäs	14
finspång	14
åstorp	14
nyland	14
älmhult	14
paderborn	14
råsunda	14
kisa	14
VÃ¤sterÃ¥s	14
sao paulo	14
skjern	14
darmstadt	14
kalix	14
munkedal	14
valdemarsvik	13
princeton nj	13
brünn	13
berolini	13
töreboda	13
zutphen	13
hudikswall	13
gällivare	13
saltsjöbaden	13
rättvik	13
karlsruhe	13
Altona	13
reutlingen	13
ankara	13
Boston MA	13
gothembourg	13
Washington DC	13
Cincinnati OH	13
Hannover	13
emmaboda	13
rio de janeiro	13
upps sthlm	13
zerbst	13
dalamagasinet	13
deventer	12
vaxholm	12
örkelljunga	12
åhus	12
lundæ literis berlingianis	12
råå	12
östervåla	12
engelh	11
Wittenberg	11
sundswall	11
christinehamn	11
uddeholm	11
warzawa	11
kaupmannahafn	11
tórshavn	11
hällefors	11
jahr	11
ockelbo	11
Joensuu	11
bengtsfors	11
sävsjö	11
Kouvola	11
Dundee	11
Giessen	11
Wismar	11
vinslöv	11
viggbyholm	11
Padova	11
Kruunupyy	11
hellerup	11
upsaliæ stenhammar palmblad	11
ljungskile	11
Portland OR	11
Uusikaupunki	11
kungsör	11
Caen	11
axelfors	11
upsaliæ litteris joh fred edman reg acad typogr	11
pisa	11
bussum	11
jönkiöping	11
jönköping petter hultman	11
kolding	10
upsaliæ ex officina werneriana	10
Regensburg	10
arnhem	10
altenburg	10
palermo	10
wurzen	10
strömsbro	10
kassel	10
Leeuwarden	10
bucuresti	10
ljubljana	10
stade	10
honolulu	10
weltevreden	10
gislaved	10
Lille	10
glimåkra	10
sveg	10
holmiæ literis wernerianis	10
Bombay	10
GÃ¶ttingen	10
grenna	10
zeist	10
