"","publication_place","country","count","longitude","latitude","identity"
"538","Tranås","Sweden",144,"15","58.05","<http://vocab.getty.edu/tgn/1063753>"
"539","Trelleborg","Sweden",274,"13.1667","55.3667","<http://vocab.getty.edu/tgn/1063757>"
"540","Trollhättan","Sweden",166,"12.3333","58.2833","<http://vocab.getty.edu/tgn/7009864>"
"541","Trosa","Sweden",75,"17.55","58.9","<http://vocab.getty.edu/tgn/1063760>"
"542","Töreboda","Sweden",13,"14.1167","58.6833","<http://vocab.getty.edu/tgn/1063720>"
"543","Uddeholm","Sweden",11,"13.6167","60.0167","<http://vocab.getty.edu/tgn/1063776>"
"545","Ulricehamn","Sweden",153,"13.4167","57.95","<http://vocab.getty.edu/tgn/1063780>"
"546","Umeå","Sweden",570,"20.25","63.8333","<http://vocab.getty.edu/tgn/7009865>"
"547","Uppsala","Sweden",21085,"17.6333","59.9167","<http://vocab.getty.edu/tgn/7009867>"
"548","Vadstena","Sweden",186,"14.9167","58.4333","<http://vocab.getty.edu/tgn/7009868>"
"549","Valdemarsvik","Sweden",15,"16.5833","58.2167","<http://vocab.getty.edu/tgn/1063816>"
"550","Vansbro","Sweden",16,"14.25","60.5333","<http://vocab.getty.edu/tgn/1063822>"
"551","Varberg","Sweden",175,"12.25","57.1","<http://vocab.getty.edu/tgn/7009870>"
"552","Vaxholm","Sweden",13,"18.35","59.4167","<http://vocab.getty.edu/tgn/1063828>"
"553","Vetlanda","Sweden",299,"15.0833","57.4333","<http://vocab.getty.edu/tgn/1063838>"
"554","Vimmerby","Sweden",81,"15.8333","57.6667","<http://vocab.getty.edu/tgn/1063845>"
"555","Vinslöv","Sweden",13,"13.9167","56.1","<http://vocab.getty.edu/tgn/1063848>"
"556","Visby","Sweden",717,"18.3333","57.6167","<http://vocab.getty.edu/tgn/7009761>"
"559","Vänersborg","Sweden",490,"12.3167","58.3833","<http://vocab.getty.edu/tgn/7009869>"
"560","Värnamo","Sweden",102,"14.05","57.1833","<http://vocab.getty.edu/tgn/1063795>"
"561","Västervik","Sweden",387,"16.6667","57.75","<http://vocab.getty.edu/tgn/1063802>"
"562","Västerås","Sweden",2099,"16.55","59.6167","<http://vocab.getty.edu/tgn/7009872>"
"563","Växjö","Sweden",1156,"14.8333","56.8667","<http://vocab.getty.edu/tgn/7009874>"
"564","Ystad","Sweden",366,"13.8167","55.4167","<http://vocab.getty.edu/tgn/7009876>"
"565","Åkarp","Sweden",11,"13.1167","55.65","<http://vocab.getty.edu/tgn/1062726>"
"566","Ånäset","Sweden",1,"21.4167","64.2833","<http://vocab.getty.edu/tgn/1062736>"
"567","Åseda","Sweden",17,"15.3333","57.1667","<http://vocab.getty.edu/tgn/1062745>"
"568","Åstorp","Sweden",14,"12.95","56.15","<http://vocab.getty.edu/tgn/1062750>"
"569","Åtvidaberg","Sweden",24,"16","58.2","<http://vocab.getty.edu/tgn/1062751>"
"570","Älgarås","Sweden",4,"14.2333","58.8","<http://vocab.getty.edu/tgn/1062671>"
"572","Älmhult","Sweden",17,"14.1667","56.5333","<http://vocab.getty.edu/tgn/1062672>"
"573","Älvdalen","Sweden",15,"14.0833","61.2333","<http://vocab.getty.edu/tgn/1062676>"
"577","Ängelholm","Sweden",148,"12.85","56.25","<http://vocab.getty.edu/tgn/1062681>"
"578","Örebro","Sweden",4533,"15.0833","59.3","<http://vocab.getty.edu/tgn/1062693>"
"579","Örkelljunga","Sweden",13,"13.2833","56.2833","<http://vocab.getty.edu/tgn/1062695>"
"580","Örnsköldsvik","Sweden",236,"18.75","63.3167","<http://vocab.getty.edu/tgn/1062696>"
"581","Östervåla","Sweden",12,"17.2333","60.1833","<http://vocab.getty.edu/tgn/1062711>"
"582","Östhammar","Sweden",44,"18.3667","60.2667","<http://vocab.getty.edu/tgn/1062712>"
"410","Gothenburg","Sweden",14164,"11.9667","57.7167","<http://vocab.getty.edu/tgn/7009954>"
"81","Forssa","Finland",27,"23.633","60.8167","<http://vocab.getty.edu/tgn/1031279>"
"82","Hamina","Finland",22,"27.25","60.55","<http://vocab.getty.edu/tgn/1031289>"
"83","Hanko","Finland",39,"23","59.8333","<http://vocab.getty.edu/tgn/1031290>"
"84","Heinola","Finland",2,"26.0833","61.2167","<http://vocab.getty.edu/tgn/1031297>"
"85","Helsinki","Finland",14765,"25","60.1333","<http://vocab.getty.edu/tgn/7009880>"
"86","Hyvinkää","Finland",5,"24.8333","60.6167","<http://vocab.getty.edu/tgn/1031304>"
"87","Hämeenlinna","Finland",165,"24.4167","61","<http://vocab.getty.edu/tgn/7009878>"
"89","Joensuu","Finland",11,"29.75","62.6","<http://vocab.getty.edu/tgn/1031325>"
"90","Jyväskylä","Finland",205,"25.8333","62.2667","<http://vocab.getty.edu/tgn/7009882>"
"91","Kajaani","Finland",7,"27.6833","64.2333","<http://vocab.getty.edu/tgn/1031339>"
"92","Kangasala","Finland",1,"24.0833","61.4667","<http://vocab.getty.edu/tgn/1031341>"
"93","Karjaa","Finland",1,"23.75","60.0833","<http://vocab.getty.edu/tgn/1031348>"
"94","Kaskinen","Finland",1,"21.1667","62.3833","<http://vocab.getty.edu/tgn/1031354>"
"95","Kemi","Finland",2,"24.5667","65.7667","<http://vocab.getty.edu/tgn/1031365>"
"96","Kokemäki","Finland",1,"22.3333","61.25","<http://vocab.getty.edu/tgn/1031383>"
"97","Kokkola","Finland",30,"23.1667","63.8333","<http://vocab.getty.edu/tgn/1031384>"
"98","Korsnäs","Finland",14,"21.1667","62.7833","<http://vocab.getty.edu/tgn/1031392>"
"99","Kotka","Finland",21,"26.9167","60.4333","<http://vocab.getty.edu/tgn/1031395>"
"100","Kouvola","Finland",13,"26.75","60.9","<http://vocab.getty.edu/tgn/1031396>"
"101","Kristiinankaupunki","Finland",400,"21.3","62.2667","<http://vocab.getty.edu/tgn/1031397>"
"102","Kruunupyy","Finland",11,"23.0667","63.7333","<http://vocab.getty.edu/tgn/1031398>"
"103","Kuopio","Finland",101,"27.6667","62.9","<http://vocab.getty.edu/tgn/7009883>"
"104","Kuusankoski","Finland",1,"26.7","60.9167","<http://vocab.getty.edu/tgn/1031412>"
"106","Lahti","Finland",16,"25.6667","60.9667","<http://vocab.getty.edu/tgn/7009884>"
"107","Lappeenranta","Finland",6,"28.25","61.0667","<http://vocab.getty.edu/tgn/7009885>"
"108","Lapua","Finland",1,"23","62.95","<http://vocab.getty.edu/tgn/1031430>"
"109","Lohja","Finland",1,"24.1667","60.2","<http://vocab.getty.edu/tgn/7009887>"
"110","Loviisa","Finland",28,"26.25","60.45","<http://vocab.getty.edu/tgn/1031447>"
"111","Mariehamn","Finland",98,"19.9167","60.0833","<http://vocab.getty.edu/tgn/1031454>"
"112","Mikkeli","Finland",26,"27.25","61.7333","<http://vocab.getty.edu/tgn/1031460>"
"115","Noormarkku","Finland",1,"21.8333","61.5833","<http://vocab.getty.edu/tgn/7009890>"
"116","Närpiö","Finland",2,"21.3167","62.4667","<http://vocab.getty.edu/tgn/1031469>"
"117","Orivesi","Finland",1,"24.35","61.6833","<http://vocab.getty.edu/tgn/1031481>"
"118","Oulu","Finland",60,"25.4333","65","<http://vocab.getty.edu/tgn/1031485>"
"119","Parainen","Finland",3,"22.3333","60.3","<http://vocab.getty.edu/tgn/1031494>"
"120","Parkano","Finland",1,"23","62.05","<http://vocab.getty.edu/tgn/1031496>"
"122","Pieksämäki","Finland",3,"27.1667","62.3","<http://vocab.getty.edu/tgn/1031504>"
"123","Pietarsaari","Finland",79,"22.6667","63.6833","<http://vocab.getty.edu/tgn/1031322>"
