publication_place	country	Count
Gryphiswaliae caroli höpfneri	NA	    1
Gryphisw caroli höpfneri reg acad typogr	NA	    1
Gustavia saint barthelemy	NA	    1
Gusum	NA	    5
Haarlem	Netherlands	    3
Haerlem vincent casteleyn stadts drucker op de marckt de druckery anno	NA	    1
Hafniae lipsiae	NA	    1
Halae magdeburgicae	NA	    1
Halae magdebvrgicae io gottl bierwirth m d ccxxxxvii	NA	    1
Halae svevor	NA	    1
Halle	Germany	   19
Halmstad	NA	   23
Halmstad c heuman comp	NA	    1
Hambourg stockholm	NA	    1
Hamburg	Germany	   76
Hamburg franckfurt leipzig	NA	    1
Hamburg holmiae	NA	    2
Hamburgi amsterodami	NA	    4
Hamburgi holmiae	NA	    1
Hamburg kiel	NA	    1
Hamburg leipzig	NA	    3
Hamburg stockholm	NA	    1
Hämeenlinna	Finland	    1
Hamm	NA	    1
Hammone libraria schulziana mdcccxxviii	NA	    1
Hanau	Germany	    1
Hannover	Germany	    4
Hannoverae svmtibvs nicolai foersteri bibliopolae avlici sacrae regiae maiestatis britannicae mdccxx	NA	    1
Hantschenii reg typogr	NA	    2
Harderovici haered joh rampen academiae ducatus gelriae comit zutphaniae typograph ord m d ccxxxv	NA	    1
Hardervici	NA	    1
Harlemi	NA	    1
Härnösand	Sweden	  143
Haunia	Finland	    6
Hauniae köpenhamn	NA	    1
Havniae	NA	   16
Havniae aug frid steinii	NA	    1
Havniae augusti friderici steinii	NA	    2
Havniae augusti friderici steinii m dcc lxxvii	NA	    1
Havniae calcographeo b joachimi schmidtgen ao	NA	    1
Havniae mdccxcix literis directoris joh frid schultzii aulae universitatis typographi	NA	    1
Havniae sumtibus legati arnaemagnaeani librariae gyldendalianae jani hostrup schultz aulae universitatis typographi	NA	    1
Havniae sumtibus legati arna magnaeani librariae gyldendalianae hartvigi friderici popp	NA	    1
Havniae typographeo regiae majest universit anno mdccvii	NA	    1
Heidelberg	Germany	    3
Heiligenstadt	NA	    2
Helmaestadi heredum iacobi lucij anno m d cxiix	NA	    1
Helmaestadi heredum iacobi lvci m d cxiix	NA	    1
Helmestadii	NA	    2
Helmstädt zu finden bey salomon schnorzn anno	NA	    1
Helmstedt	Germany	    5
Helsingborg	Sweden	   21
Helsingborg torell	NA	    2
Helsingfors åbo	NA	    3
Helsingor	Denmark	    1
Helsingo/r	NA	    3
Helsinki	Finland	   27
Henrich käyser	NA	    2
Henrich keyser	NA	    6
Henricus curio s r m acad upsaliensis bibliopola m dc lxxiii	NA	    1
Hernoesandiae	NA	    2
Hesse cassel m dcc xviii	NA	    1
Heylbronn bey christoff krausen mense april	NA	    1
Heylbrunn	NA	    1
Hildburghausen bei johann gottfried hanisch	NA	    1
Hindrich käyser åhr	NA	    1
Historiographi regni tryckerij hartwig gercken	NA	    1
Holmia	NA	    1
Holmiae bruxellis	NA	    1
Holmiae hamburgi	NA	    2
Holmiae hanoviae	NA	    1
Holmiae lipsiae	NA	    1
Holmiae vbsaliae	NA	    1
Holmiae wasae	NA	    1
Holmii anno m dc xv	NA	    1
Holmii anno m dc xvi	NA	    1
Hoos henrich keyser	NA	    9
Hoos henrich keyser åhr	NA	    1
Hoos henrich keyser kognl booktryckiare	NA	    1
Hoos henrich keyser kongl booktryckiare	NA	    2
Hoos ignatium meurer	NA	    1
Hoos lars wall	NA	    1
Hoos niclas wankijff kongl booktr	NA	    7
Hoos niclas wankijff kongl booktr åhr mdclxxxi	NA	    1
Hoos niclas wankijff kongl booktrycki are	NA	    1
Hoos nicolaum wankijff kongl booktryckiare	NA	    1
Hrappsey magnúsi moberg	NA	    1
I gefle	NA	    1
Iglau	NA	    1
Ignatio meurer	NA	    1
Ignatio meurer åhr	NA	    2
I kiobenhaffn georg lamprecht anno paa joachim moltkens boghandlers bekostning	NA	    1
Inn disem jahre stade bey caspar holwein königl schwed buchdrucker	NA	    1
Istockholm chr reusner anno	NA	    1
I vbsala eskil matzson åhr	NA	    1
Jaer m d c lxxv	NA	    1
Jahr	NA	   11
Jahr christi	NA	    3
Jahre	NA	    1
Jahr m dc xliv	NA	    1
Jahr m dc xxx	NA	    1
Jahr m dc xxxi	NA	    1
Jahr m dc xxxvii	NA	    1
Jelgava	Latvia	    4
Jena	Germany	   16
Jm jahr	NA	    1
Johan carlbohm	NA	    1
Johannes billingsley	NA	    1
Johannes brendeken reg acad typographus	NA	    1
Joh fredr edman mariefred	NA	    1
Joh h werner kongl boktr	NA	    3
Joh h werner kongl boktryckiare	NA	    1
Jönekjöpjng petter hultman åhr	NA	    1
Jönkjöping	NA	    3
Jönkjöping åhr	NA	    1
Jönkjöping petter hultman åhr	NA	    1
Jönkjöping sal falcks änkia bekostnad år	NA	    1
Jönköping norrköping	NA	    2
Jönnköping	Sweden	  823
Jueterbog	NA	    6
Kalmar	NA	  326
Karlshamn	NA	   29
Karlskrona	Sweden	  598
Karlskrona stockholm	NA	    1
Karlsruhe	Germany	    2
Karlstad	Sweden	  305
Kassel	Germany	    3
Kaupmannahafn	NA	    3
Kaupmannahöfn	NA	    3
Kbhvn	NA	    1
Keyserianis	NA	    1
Khvn	NA	    7
Kiel	Germany	   22
Kilonii	NA	    1
Kiloni joachimi reumanni acad typogr anno	NA	    1
Kiobenh	NA	    1
Kiobenhabn kongl majests priv bogtr paa amager torf	NA	    1
Kiöbenhaffn	NA	    2
Kiöbenhafn	NA	    1
Kiobenhamn	NA	    1
Ko/benhavn	NA	    1
Koburg	NA	    1
Köln stockholm	NA	    2
Kongl amiralitets boktryckaren joan winqwist	NA	    1
Kongl boktr hoos sal wankijfs änkia	NA	    1
Kongl boktryckerjet sahl wankifs änckia h werner	NA	    1
Kongl boktryckerjet sal wankifs änkia joh henr werner	NA	    1
Kongl boktryckerj hoos sal wankifs enkia joh hen werner	NA	    2
Kongl booktr hoos sahl wankifs änckia	NA	    1
Kongl booktr hoos sal wankifs änckia	NA	    1
Kongl booktryckerijet hoos sahl niclas wankifs enckia	NA	    1
Kongl fält tryckeriet peter sohm	NA	    3
Kongl tryckeriet	NA	  640
Kongl tryckeriet å nyo	NA	    2
Kongl tryckeriet å nyo nplagd	NA	    1
Kongl tryckeriet år	NA	    1
Kongl tryckeriet henr fougt stora nygatan huset no	NA	    2
Kongl tryckeriet jun	NA	    1
Königl buckdruckerey	NA	    1
Königl druckerey	NA	    2
Koningsberg	Germany	   11
Kopenhagen	NA	   13
Kopenhagen bey christ gottlob prost universitäts buchhändlern	NA	    1
Kopenhagen bey peter morsing	NA	    1
Kopenhagen dero königl majest und universit privilegirten buchdruckeren	NA	    1
Kopenhagen gyldendalschen buchhandlung	NA	    1
Kopenhagen im jahr mdccxv	NA	    1
Kopenhague chez pierre steimann libraire grande place royale m dcc xcv	NA	    1
Köthen	NA	    1
Krakow	Poland	    1
Kristianstad	NA	  237
Laage	NA	    1
La haie ches adrien moetjens m dcc xli	NA	    1
Lausanne	Switzerland	    2
Lbingen wendel bodenhausen anno m dc xxix	NA	    1
Leeds	England	    1
Leeuwarden	Netherlands	    6
Leiden	Netherlands	   16
Leijden	NA	    2
Leipsick	NA	    2
Leipzig	Germany	  172
Leipzig altenburg	NA	    1
Leipzig nuernberg	NA	    1
Leipzig stockholm	NA	    2
Leipzig stralsund	NA	    1
Leipzig strengnäs	NA	    1
Leipzig weimar	NA	    1
Leopoli	NA	    1
Lichfield london dublin edinburgh	NA	    1
Liège	Belgium	    5
Liegnitz	NA	    2
Lijnköping christopher guenter anno	NA	    1
Lijnköping hoos christopher guenter anno m dc xlvi	NA	    1
Likiöping hoos sahl ephraim kämpes änckia	NA	    1
Limoges	NA	    1
Lincii	NA	    1
Lincopen	NA	    1
Lincöping	NA	    1
Linkiöpingh	NA	    2
Linkiöpng	NA	    1
Linkjöping	NA	    6
Linkopiae	NA	    1
Linköping	Sweden	 1252
Linköpingh	NA	    4
Linköpingh daniel kämpe	NA	    2
Linköpingh daniel kämpe åhr	NA	    1
Linköpingh daniel kämpe finnes hoos honom til kiöps	NA	    1
Linköpingh hoos daniel kämpe åhr	NA	    2
Linköping norrköping	NA	    2
Linköping stockholm	NA	    6
Linköpng hoos daniel kämpe åhr	NA	    1
Linlöping	NA	    1
Linz	NA	    2
Lipsiae dessaviae	NA	    1
Lipsiae rostochii	NA	    1
Lisbon	Portugal	    7
Literis höjerianis	NA	    1
Litteris berlingianis	NA	    1
Lmens granbergs tryckeri	NA	    5
Lmens gransbergs tryckeri	NA	    1
Londini lund	NA	    6
London	England	  478
London exeter york	NA	    1
London holborn	NA	    1
Londoni lund	NA	    1
London lyon	NA	    1
London stockholm	NA	    1
Londres paris providence	NA	    1
Lorens ludvig grefing	NA	    1
Lucca	Italy	    2
Luebeck leipzig	NA	    1
Luebeck lybeck	NA	    1
Lueneburg	NA	    6
Luettich	NA	    1
Lugano	Switzerland	    2
Lugd bat	NA	    1
Lund	Sweden	 2176
Lunda	NA	    1
Lundae lund	NA	    1
Lundensibus	NA	    1
Lund frankfurt	NA	    1
Lund hamburg	NA	    1
Lund malmö	NA	    1
Lund stockholm	NA	    8
Lvgd batav officina elzeviriana	NA	    2
Lvgd batavorvm elzevirios anno	NA	    1
Lvgd batavorvm officina adriani wijngaerdem	NA	    1
Lvgd bat officina guilielmi christiani m d cl	NA	    1
Lvgdvni lugduni	NA	    1
Lvndae berlingianis	NA	    1
Lvndini scanorum literis viti haberegger gouvern acad carol typographi	NA	    1
Lybec	NA	    1
Lybeck	Germany	   32
Lyon	France	   11
Madrid	Spain	   12
Magdeburg	Germany	    4
Mallmö anno	NA	    1
Malmö	Sweden	   94
Malmoe	NA	    3
Malmogiae	NA	    1
Malmogiae viti haberegger gn gv typogr	NA	    1
Manchester	England	    1
Mannheim	Germany	    1
Marburg	Germany	    3
Marburgi	NA	    1
Marburgi cattorum	NA	    1
Mariaestad	NA	    1
