original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
63 cm	NA	NA	 63.0	FALSE	NA	 38.0	 63.0	NA	 2394.00	     5
36 cm	NA	NA	 36.0	FALSE	NA	 24.0	 36.0	NA	  864.00	     5
23cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     5
2:o(tv.)	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     5
16:o(8 avl.).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     5
8:o(8 o. 4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     5
16:o(8)	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     5
6:o.	6to	NA	NA	FALSE	6to	NA	NA	 0	NA	     5
4:o. (ins.: 1/2:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     5
8:o(tv.)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     5
20x15 cm	NA	 15.0	 20.0	FALSE	NA	 15.0	 20.0	NA	  300.00	     5
22 cm (8:o)	8vo	NA	 22.0	FALSE	8vo	 15.0	 22.0	 0	  330.00	     5
24 cm (8:o)	8vo	NA	 24.0	FALSE	8vo	 15.0	 24.0	 0	  360.00	     5
10 cm	NA	NA	 10.0	FALSE	NA	  7.0	 10.0	NA	   70.00	     5
58 cm	NA	NA	 58.0	FALSE	NA	 36.0	 58.0	NA	 2088.00	     4
54 cm	NA	NA	 54.0	FALSE	NA	 34.0	 54.0	NA	 1836.00	     4
tv. 8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
4.o	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     4
15x12 cm	NA	 12.0	 15.0	FALSE	NA	 12.0	 15.0	NA	  180.00	     4
24:o	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     4
fol.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     4
hög 12:o.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     4
hög 12:o	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     4
20x13 cm	NA	 13.0	 20.0	FALSE	NA	 13.0	 20.0	NA	  260.00	     4
48:o(8).	48mo	NA	NA	FALSE	48mo	  6.5	 10.0	 0	   65.00	     4
16:o(2).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     4
8:o (8 o. 4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
8:o(8 o.4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
12:o(avl.) [04] , ii156 s.; träsnittstitelbl., [1] pl.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     4
12:o(tv.).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     4
8:o(avl.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
23 cm (8:o)	8vo	NA	 23.0	FALSE	8vo	 15.0	 23.0	 0	  345.00	     4
47 cm	NA	NA	 47.0	FALSE	NA	 30.0	 47.0	NA	 1410.00	     4
21x14 cm	NA	 14.0	 21.0	FALSE	NA	 14.0	 21.0	NA	  294.00	     4
19 cm +	NA	NA	 19.0	FALSE	NA	 13.0	 19.0	NA	  247.00	     4
18 x 26 cm	NA	 18.0	 26.0	FALSE	NA	 18.0	 26.0	NA	  468.00	     4
56 cm	NA	NA	 56.0	FALSE	NA	 35.0	 56.0	NA	 1960.00	     3
61 cm	NA	NA	 61.0	FALSE	NA	 37.0	 61.0	NA	 2257.00	     3
Tvärfol.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     3
67 cm	NA	NA	 67.0	FALSE	NA	 40.0	 67.0	NA	 2680.00	     3
18:o	18mo	NA	NA	FALSE	18mo	 10.0	 16.0	 0	  160.00	     3
48 cm	NA	NA	 48.0	FALSE	NA	 31.0	 48.0	NA	 1488.00	     3
14x11 cm	NA	 11.0	 14.0	FALSE	NA	 11.0	 14.0	NA	  154.00	     3
15x10 cm	NA	 10.0	 15.0	FALSE	NA	 10.0	 15.0	NA	  150.00	     3
8:o. obl.	8vo	NA	NA	 TRUE	8vo	 19.0	 13.0	 1	  247.00	     3
64:o.	64mo	NA	NA	FALSE	64mo	  5.0	  7.0	 0	   35.00	     3
2	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     3
2:o(6)	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     3
8 obl.	NA	NA	NA	 TRUE	NA	NA	NA	NA	NA	     3
