original	polished	Count
[Leipzig]	Leipzig	  2
Stockholm, tryckt i Kongl. tryckeriet, 1803.	Stockholm	  2
Stockholm, Tryckt i Kongl. Tryckeriet, 1794.	Stockholm	  2
Parizo	Paris	  2
Stockholm, uplagdt uti det Kongl. tryckeriet, hos Joh. H. Werner, directeur öfwer alla tryckerien i riket.	Stockholm	  2
Halle a.d.S.	Halle	  2
Stockholm, Tryckt i Kongl. Tryckeriet, 1828.	Stockholm	  2
Bryn Athyn, Pa.	Bryn Athyn PA	  2
[Ludvika]	Ludvika	  2
Fredrikshamn	Hamina	  2
Stockholm, Tryckt hoos Niclas Wankijff, Kongl. Booktr.	Stockholm	  2
St Peterburg	St Petersburg	  2
Uleåborg	Oulu	  2
Minneapolis	Minneapolis Mn	  2
Tryckt i Stockholm, af Ignatio Meurer, kongl. booktr. Åhr 1664.	Stockholm	  2
Copenhague	Copenhagen	  2
Stockholm, tryckt uti förr thetta Grefingska tryckeriet, 1771.	Stockholm	  2
Stockholm, tryckt i Kongl. Tryckeriet, 1819.	Stockholm	  2
Åbo]	Turku	  2
Vpsala	Uppsala	  2
Stockholm, tryckt hos direct. Lars Salvius.	Stockholm	  2
Wenersborg	Vänersborg	  2
Strengnesiæ	Strängnäs	  2
Stockholm, Tryckt i Kongl. Tryckeriet, 1820.	Stockholm	  2
Stockholm ;;Borgå	Stockholm	  2
[Strassburg]	Strasbourg	  2
Kjøbenhavn ;;Kristiania	Copenhagen	  2
Rīga	Riga	  2
Stockholm, Tryckt uti det Kongl. Boktryckeriet.	Stockholm	  2
Baltimore	Baltimore Md	  2
München ;;Leipzig	München	  2
Göteborg ;;Stockholm	Gothenburg	  2
Amstelodami	Amsterdam	  2
[Köpenhamn]	Copenhagen	  2
[Falun]	Falun	  2
[Eskilstuna]	Eskilstuna	  1
Stockholm, tryckt hos Direct. Lars Salvius.	Stockholm	  1
Stockholm, tryckt uti kongl. ordens- tryckeriet år 1778.	Stockholm	  1
[Kalmar ]	Kalmar	  1
Åbo, Tryckt aff Johan Winter.	Turku	  1
Upsaliæ, imprimebat Eschillus Matthiæ	Uppsala	  1
Leyden	Leiden	  1
[Norrköping?]	Norrköping	  1
Londini Gothorum typis Caroli Gustavi Berling.	Lund	  1
Stockholm :;Örebro	Stockholm	  1
Upsalieae	Uppsala	  1
[Köping]	Köping	  1
Uppsala ;;Wiesbaden	Uppsala	  1
Stockholm, tryckt i kongl. tryckeriet, 1799.	Stockholm	  1
Khvn & Oslo	Copenhagen	  1
Ubsaliæ, imprimebat Eschillus Matthiæ. M. DC. XXXII.	Uppsala	  1
[I slutet] Präntätty Stockholmin caupungis	Stockholm	  1
Stockholm, tryckt i Kongl. tryckeriet, 1799.	Stockholm	  1
Oldenburg i Gr	Oldenburg	  1
Stockholm, uti det Kongl. tryckeriet uplagt, hos Joh. H. Werner, Director öfwer alla tryckerien i riket, åhr 1720.	Stockholm	  1
Westerås, tryckt hos L. R. Björkbom, 1836.	Västerås	  1
[Lahti]	Lahti	  1
Londini Gothorum. Ex officina direct. Caroli Gustavi Berling. reg. acad. carol. typograph.	London	  1
Utrecht & Antwerpen	Utrecht	  1
Stockholm, Tryckt hoos Nicolaum Wankijff, Kongl. Booktr.	Stockholm	  1
Uppsala :;[Solna]	Uppsala	  1
Rīgā	Riga	  1
Stockholm, tryckt uti Kongl. Finska boktryckeriet, hos Joh. Arvid Carlbohm, 1770.	Stockholm	  1
Stockholm, tryckt hos directeuren Lars Salvius, 1760.	Stockholm	  1
Halmstad, 1825. Tryckt hos C. G. Heuman, et Comp.	Halmstad	  1
Dallas, Texas	Dallas tx	  1
Stockholm och Upsala, hos Gottfried Kiesewetter, 1742.	Stockholm	  1
Linköping :;Linköping :;Linköping :;Stockholm	Linköping	  1
Westerås, tryckt hos Joh. Laur. Horrn, kongl. consist. och gymn. boktr. År 1757.	Västerås	  1
New haven, Conn	New Haven Ct	  1
