original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Heijkenskjöld, Jeanna	1857-1932	Heijkenskjöld, Jeanna (1857-1932)	1857	1932	   3
Hedqvist, Vilhelm	1869-1939	Hedqvist, Vilhelm (1869-1939)	1869	1939	   3
Hedner, Olof Johan	1861-1930	Hedner, Olof Johan (1861-1930)	1861	1930	   3
Hasselrot, Per	1875-1949	Hasselrot, Per (1875-1949)	1875	1949	   3
Hansén, Jonas P:son	1884-1965	Hansén, Jonas P:son (1884-1965)	1884	1965	   3
Hallman, Adolf	1893-1968	Hallman, Adolf (1893-1968)	1893	1968	   3
Göring, Hermann	1893-1946	Göring, Hermann (1893-1946)	1893	1946	   3
Gullmare, Fritjof	1902-1979	Gullmare, Fritjof (1902-1979)	1902	1979	   3
Grimlund, Otto	1893-1969	Grimlund, Otto (1893-1969)	1893	1969	   3
Grenander, Max	1873-1953	Grenander, Max (1873-1953)	1873	1953	   3
Granfelt, Helge	1891-1976.	Granfelt, Helge (1891-1976)	1891	1976	   3
Granberg, Selma	1885-	Granberg, Selma (1885-NA)	1885	NA	   3
Goldschmidt, Meïr Aron	1819-1897	Goldschmidt, Meïr Aron (1819-1897)	1819	1897	   3
Thörnqvist, Anne-Marie	1901-1975	Thörnqvist, Anne-marie (1901-1975)	1901	1975	   3
Gladkov, Fedor Vasilʹevič	1883-1958	Gladkov, Fedor Vasilʹevič (1883-1958)	1883	1958	   3
Giraudoux, Jean	1882-1944	Giraudoux, Jean (1882-1944)	1882	1944	   3
Gilbert, Anthony	1899-1973	Gilbert, Anthony (1899-1973)	1899	1973	   3
Freytag, Gustav	1816-1895	Freytag, Gustav (1816-1895)	1816	1895	   3
Gay, John	1685-1732	Gay, John (1685-1732)	1685	1732	   3
Franzos, Karl Emil	1848-1904	Franzos, Karl Emil (1848-1904)	1848	1904	   3
Forslund, Johan August	1864-1945	Forslund, Johan August (1864-1945)	1864	1945	   3
Follin, Elias	1746-1819	Follin, Elias (1746-1819)	1746	1819	   3
Pettersson, Maja	1880-	Pettersson, Maja (1880-NA)	1880	NA	   3
Falck, Albert Edvard	1867-	Falck, Albert Edvard (1867-NA)	1867	NA	   3
Ewald, Gustaf	1884-1976	Ewald, Gustaf (1884-1976)	1884	1976	   3
Espina, Concha	1869-1955	Espina, Concha (1869-1955)	1869	1955	   3
Ehnebom, Pär	1902-	Ehnebom, Pär (1902-NA)	1902	NA	   3
Eos, Karl	1888-1957	Eos, Karl (1888-1957)	1888	1957	   3
Engström, Carl Johan	1861-1936	Engström, Carl Johan (1861-1936)	1861	1936	   3
Eljas, Emil	1880-1959	Eljas, Emil (1880-1959)	1880	1959	   3
Ekholm, Agnes	1865-1932	Ekholm, Agnes (1865-1932)	1865	1932	   3
Eddy, Sherwood	1871-1963	Eddy, Sherwood (1871-1963)	1871	1963	   3
Djurberg, Vilhelm	1865-1933	Djurberg, Vilhelm (1865-1933)	1865	1933	   3
Dietrich, Ivar W	1898-1957	Dietrich, Ivar W (1898-1957)	1898	1957	   3
Bokelund, Albert	1867-1955.	Bokelund, Albert (1867-1955)	1867	1955	   3
Bohlin, Sven	1891-1973	Bohlin, Sven (1891-1973)	1891	1973	   3
Bohlin, Elin	f. 1888	Bohlin, Elin (1888-NA)	1888	NA	   3
Bogren, Ruth	1886-1965	Bogren, Ruth (1886-1965)	1886	1965	   3
Scott, Gabriel	1874-1958	Scott, Gabriel (1874-1958)	1874	1958	   3
Björkbom, Oscar	1892-1970	Björkbom, Oscar (1892-1970)	1892	1970	   3
Bildt, Tore	1884-	Bildt, Tore (1884-NA)	1884	NA	   3
Chamisso, Adelbert von	1781-1838	Chamisso, Adelbert Von (1781-1838)	1781	1838	   3
Cederblom, Elin	1869-1923	Cederblom, Elin (1869-1923)	1869	1923	   3
Catlin, George	1796-1872	Catlin, George (1796-1872)	1796	1872	   3
Carlbaum, Bror Edvard	1871-1936	Carlbaum, Bror Edvard (1871-1936)	1871	1936	   3
Bäckström, Ida	1859-1941	Bäckström, Ida (1859-1941)	1859	1941	   3
Bultmann, Rudolf	1884-1976	Bultmann, Rudolf (1884-1976)	1884	1976	   3
Bruzelius, Nils G	1826-1895	Bruzelius, Nils G (1826-1895)	1826	1895	   3
Brontë, Emily	1818-1848	Brontë, Emily (1818-1848)	1818	1848	   3
Bridges, T. C	b. 1868	Bridges, T C (1868-NA)	1868	NA	   3
Bratt, Anders	1892-	Bratt, Anders (1892-NA)	1892	NA	   3
Booberg, Gunnar	1892-	Booberg, Gunnar (1892-NA)	1892	NA	   3
Gralén, Josef S	1881-1966	Gralén, Josef S (1881-1966)	1881	1966	   3
Bibesco, Marthe	1886-1973	Bibesco, Marthe (1886-1973)	1886	1973	   3
Bergström, Gustav	1899-1983	Bergström, Gustav (1899-1983)	1899	1983	   3
Bergstedt, Harald	1877-1965.	Bergstedt, Harald (1877-1965)	1877	1965	   3
Berggrén, Evert	1890-	Berggrén, Evert (1890-NA)	1890	NA	   3
Berg, Yngve	1887-1963	Berg, Yngve (1887-1963)	1887	1963	   3
Belin, David	1891-1974.	Belin, David (1891-1974)	1891	1974	   3
Baroja, Pío	1872-1956	Baroja, Pío (1872-1956)	1872	1956	   3
