original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
16:o(8)	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     5
6:o.	6to	NA	NA	FALSE	6to	NA	NA	 0	NA	     5
4:o. (ins.: 1/2:o)	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     5
8:o(tv.)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     5
21-30 cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     5
20x15 cm	NA	 15.0	 20.0	FALSE	12long	 15.0	 20.0	 0	  300.00	     5
22 cm (8:o)	8vo	NA	 22.0	FALSE	8vo	 15.0	 22.0	 0	  330.00	     5
24 cm (8:o)	8vo	NA	 24.0	FALSE	8vo	 15.0	 24.0	 0	  360.00	     5
12 cm	NA	NA	 12.0	FALSE	NA	  9.0	 12.0	NA	  108.00	     5
tv. 8:o	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
4.o	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     4
15x12 cm	NA	 12.0	 15.0	FALSE	16mo	 12.0	 15.0	 0	  180.00	     4
4:0	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     4
24:o	24mo	NA	NA	FALSE	24mo	  8.5	 12.5	 0	  106.25	     4
fol.	2fo	NA	NA	FALSE	2fo	 30.0	 45.0	 0	 1350.00	     4
Tv.-4:o.	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     4
20x13 cm	NA	 13.0	 20.0	FALSE	NA	 13.0	 20.0	NA	  260.00	     4
st. 4:o	4to	NA	NA	FALSE	4to	 22.0	 28.0	 0	  616.00	     4
22-26 cm	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	     4
48:o(8).	48mo	NA	NA	FALSE	48mo	  6.5	 10.0	 0	   65.00	     4
16:o(2).	16mo	NA	NA	FALSE	16mo	 12.0	 15.0	 0	  180.00	     4
8:o (8 o. 4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
8:o(8 o.4)	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
12:o(avl.) [04] , ii156 s.; träsnittstitelbl., [1] pl.	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     4
12:o(tv.).	12mo	NA	NA	FALSE	12mo	 12.5	 19.0	 0	  237.50	     4
8:o(avl.).	8vo	NA	NA	FALSE	8vo	 13.0	 19.0	 0	  247.00	     4
23 cm (8:o)	8vo	NA	 23.0	FALSE	8vo	 15.0	 23.0	 0	  345.00	     4
