author_name	author_birth	author_death	Count
Kirchring, Johan Andreas	NA	1755	 3
Falck, Carl Gustaf	NA	1792	 3
Månsson, Måns	NA	NA	 3
Fahlén, Olof	1918	NA	 3
Snell, Johann Peter Ludwig	NA	NA	 3
Andersson, Anders	1786	NA	 3
Bayly, Lewis	1631	NA	 3
Boutet, Claude	NA	NA	 3
Broberg, Pehr	NA	NA	 3
Cundicius, Johannes	1600	NA	 3
Jordan, Raymond	NA	NA	 3
Flatås, Johan Andersson	NA	1824	 3
Schmid, Lebrecht Christian Gottlob	1760	NA	 3
Möllerberg, J P	NA	NA	 3
Cyprianus	NA	NA	 3
Fichtelius, Joachim Johann	NA	1722	 3
Ekblad, Carl P	NA	NA	 3
Romberg, Friedrich	NA	NA	 3
Dilschmann, Immanuel	NA	NA	 3
Haase, F E	NA	NA	 3
Frere, Benjamin	NA	NA	 3
Collin De Plancy, Clotilde Marie	1790	NA	 3
Macdonald, James	NA	NA	 3
Seeligmann, Christian Gottlieb	NA	NA	 3
Willig, Carl Gottlieb	NA	NA	 3
Sintenis, Christian Friedrich	NA	NA	 3
Turnbull, John	NA	NA	 3
Lichtfang, Leopold Elias	NA	NA	 3
Pehrson, John	NA	NA	 3
Beynon, Elias	1600	NA	 3
Hast, Herman Henrik	NA	1749	 3
Gräns, Johan	NA	NA	 3
Ljungenstjerna, Sven Benjamin	NA	1763	 3
Königstedt, C W Von	NA	NA	 3
Justinus, Marcus Junianus	NA	NA	 3
Eutropius	NA	NA	 3
Demosthenes	NA	NA	 3
Quintilianus	NA	NA	 3
Lukianos	NA	NA	 3
Klein, Carl Ernest	NA	1761	 3
Mittag, Johann Gottfried	1705	NA	 3
Björklund, Christian	1727	NA	 3
Bergen, Joachim Christian	NA	NA	 3
Hellbom, Johan	NA	1753	 3
Degenkolb, Carl Friedrich	NA	NA	 3
Gries, Andreas	NA	NA	 3
Sind, Johann Von	NA	NA	 3
Mentzer, Magnus	1727	NA	 3
Dalman, G T	1700	NA	 3
Schön, Peter Hinrich	NA	NA	 3
Poll, Carl Otto Von	1700	NA	 3
åström, Simon	1700	NA	 3
Kurberg, Jöns	NA	NA	 3
Wachsmuth, Johann Friedrich	NA	NA	 3
Lühman, Bernhard Gustaf Von	NA	NA	 3
Spöring, Eberhard Christian	NA	1753	 3
Könsberg, Carl Magnus	NA	NA	 3
Ohlsson, Sven	NA	NA	 3
Olsson, Pehr	NA	NA	 3
Larsson, Anders	NA	NA	 3
Svensson, Bengt	1866	NA	 3
Norberg, Jonas Olofsson	NA	NA	 3
Seidel, J Tobias	NA	NA	 3
Grefing, Lorentz Ludvig	NA	1769	 3
Levesius, Augustinus	NA	NA	 3
Allart, Ludwig Nicolaus Von	NA	NA	 3
Meijer, Jacob Heinrich	NA	1760	 3
Langlois, Charles Alexandre	NA	NA	 3
Petri, Johannes Holmius	NA	NA	 2
Groth, Margareta Beata	NA	NA	 2
Hermannides, Rutgerus	1680	NA	 2
Oleati, Felice	NA	NA	 2
Zschackwitz, Johann Ehrenfried	NA	NA	 2
Wraxall, N Athaniel	NA	NA	 2
Wollin, Christ Ian	NA	NA	 2
Williams, John	1777	NA	 2
Wigand, Johannes	NA	NA	 2
Venus	NA	NA	 2
Weinrich, Ludwig Alexander Teodor	NA	NA	 2
Wahlberg, Olof	NA	NA	 2
Typotius, Jakob	NA	NA	 2
Tschiffeli, Johan Rudolf	NA	NA	 2
Tollstedt, Johan Samuel	NA	NA	 2
Tiburtius, Tiburtius E	NA	NA	 2
Thomas, Daniel Heinrich	NA	NA	 2
Themptander, Sven	NA	NA	 2
Swinton, Andrew	NA	NA	 2
Stuhr, P Eter F Eddersen	NA	NA	 2
Strebel, Johann Georg	NA	NA	 2
Neubur, Georg Philipp Anton	NA	NA	 2
Sjölag, Carl Xi:s	NA	NA	 2
Silvius, Sebastian	NA	NA	 2
Sibly, Manoah	NA	NA	 2
Seton, Alexander	NA	NA	 2
Schwarz, Albrecht Georg Von	NA	NA	 2
Schultze, S Amuel T Homasson	NA	NA	 2
Schuh, M	NA	NA	 2
Schmid, Johannes	NA	NA	 2
Rothstein, Carl Clemens	NA	NA	 2
Rothe, Tyge Jesper	NA	NA	 2
Rochonville, Charles De	NA	NA	 2
Rist, Jonas	NA	NA	 2
Rinman, Sven	NA	NA	 2
Rietz, Carl Friedrich August	NA	NA	 2
Schlegel, Johan Fredrik Wilhelm	NA	NA	 2
Przebendowski, Piotr Henryk	NA	NA	 2
Proud, J Oseph	NA	NA	 2
Porter, Robert Ker	NA	NA	 2
Platon	NA	NA	 2
Paulli, Jochum Richard	NA	NA	 2
Norlindh, C M	NA	NA	 2
Nelkenbrecher, J Ohann C Hristian	NA	NA	 2
