original	pagecount	volnumber	volcount	Count
334 s.	 334	NA	NA	   7
261 s.	 261	NA	NA	   7
104s	 104	NA	NA	   7
271 s.	 271	NA	NA	   7
163 s.	 163	NA	NA	   7
118 s.	 118	NA	NA	   7
97 s.	  97	NA	NA	   7
65 s.	  65	NA	NA	   7
169 s.	 169	NA	NA	   7
247 s.	 247	NA	NA	   7
214 s.	 214	NA	NA	   7
231 s.	 231	NA	NA	   7
265 s.	 265	NA	NA	   7
(4)s	   4	NA	NA	   7
6 vol.	NA	NA	 6	   7
4s	   4	NA	NA	   7
303 s.	 303	NA	NA	   7
153 s.	 153	NA	NA	   7
41 s.	  41	NA	NA	   7
7,(1)s	   7	NA	NA	   7
8 st.	NA	NA	NA	   7
81 s.	  81	NA	NA	   7
80s	  80	NA	NA	   7
192s	 192	NA	NA	   7
191s	 191	NA	NA	   6
[2] bl.	   4	NA	NA	   6
11,(1)s	  11	NA	NA	   6
311 s.	 311	NA	NA	   6
194 s.	 194	NA	NA	   6
215 s.	 215	NA	NA	   6
331 s.	 331	NA	NA	   6
301 s.	 301	NA	NA	   6
285 s.	 285	NA	NA	   6
276 s.	 276	NA	NA	   6
384 s.	 384	NA	NA	   6
283 s.	 283	NA	NA	   6
345 s.	 345	NA	NA	   6
226 s.	 226	NA	NA	   6
(4) bl.	   8	NA	NA	   6
296 s.	 296	NA	NA	   6
A8.	NA	NA	NA	   6
160s	 160	NA	NA	   6
72s	  72	NA	NA	   6
119 s.	 119	NA	NA	   6
(16) bl. + B8.	  32	NA	NA	   6
31, [1] s.	  32	NA	NA	   6
88s	  88	NA	NA	   6
37s	  37	NA	NA	   6
17s	  17	NA	NA	   6
44s	  44	NA	NA	   6
34s	  34	NA	NA	   6
133 s.	 133	NA	NA	   6
266 s.	 266	NA	NA	   6
87s	  87	NA	NA	   6
53s	  53	NA	NA	   6
113 s.	 113	NA	NA	   6
227 s.	 227	NA	NA	   6
252 s.	 252	NA	NA	   6
286 s.	 286	NA	NA	   6
147 s.	 147	NA	NA	   6
66s	  66	NA	NA	   6
139 s.	 139	NA	NA	   6
235 s.	 235	NA	NA	   6
336 s.	 336	NA	NA	   6
114, [1] s.	 115	NA	NA	   5
228 s.	 228	NA	NA	   5
234 s.	 234	NA	NA	   5
35,(1)s	  35	NA	NA	   5
[08] s. =(s. 7/8 blank).=	NA	NA	NA	   5
A4-B4.	NA	NA	NA	   5
5 s.	   5	NA	NA	   5
47,(1)s	  47	NA	NA	   5
315 s.	 315	NA	NA	   5
277 s.	 277	NA	NA	   5
347 s.	 347	NA	NA	   5
233 s.	 233	NA	NA	   5
220 s.	 220	NA	NA	   5
319 s.	 319	NA	NA	   5
275 s.	 275	NA	NA	   5
[02] , 28 s.	  30	NA	NA	   5
50s	  50	NA	NA	   5
5 st.	NA	NA	NA	   5
76s	  76	NA	NA	   5
351 s.	 351	NA	NA	   5
[10] s.	  10	NA	NA	   5
156, [1] s.	 157	NA	NA	   5
119, [1] s.	 120	NA	NA	   5
281 s.	 281	NA	NA	   5
121 s.	 121	NA	NA	   5
43s	  43	NA	NA	   5
61s	  61	NA	NA	   5
240s	 240	NA	NA	   5
6s	   6	NA	NA	   5
156s	 156	NA	NA	   5
(32)s	  32	NA	NA	   5
60s	  60	NA	NA	   5
385 s.	 385	NA	NA	   5
120s	 120	NA	NA	   5
119s	 119	NA	NA	   5
339 s.	 339	NA	NA	   5
318 s.	 318	NA	NA	   5
7 st.	NA	NA	NA	   5
308 s.	 308	NA	NA	   5
A4.	NA	NA	NA	   5
23, [1] s.	  24	NA	NA	   5
313 s.	 313	NA	NA	   5
310 s.	 310	NA	NA	   5
14,(1)s	  14	NA	NA	   5
378 s.	 378	NA	NA	   5
218 s.	 218	NA	NA	   5
32 s. =(s. 31/32 blank)=.	NA	NA	NA	   5
19,(1)s	  19	NA	NA	   5
309 s.	 309	NA	NA	   5
(16)s	  16	NA	NA	   5
213 s.	 213	NA	NA	   5
51s	  51	NA	NA	   5
179 s.	 179	NA	NA	   5
297 s.	 297	NA	NA	   5
366 s.	 366	NA	NA	   5
279 s.	 279	NA	NA	   5
232s	 232	NA	NA	   5
132, [1] s.	 133	NA	NA	   4
(4) s.	   4	NA	NA	   4
132s	 132	NA	NA	   4
[02] , 22 s.	  24	NA	NA	   4
[6] s.	   6	NA	NA	   4
400 s.	 400	NA	NA	   4
324 s.	 324	NA	NA	   4
[18] s.	  18	NA	NA	   4
314 s.	 314	NA	NA	   4
115s	 115	NA	NA	   4
190, [2] s.	 192	NA	NA	   4
316 s.	 316	NA	NA	   4
439 s.	 439	NA	NA	   4
A4-C4.	NA	NA	NA	   4
77s	  77	NA	NA	   4
295 s.	 295	NA	NA	   4
157, [1] s.	 158	NA	NA	   4
133s	 133	NA	NA	   4
412 s.	 412	NA	NA	   4
168, [1] s.	 169	NA	NA	   4
249 s.	 249	NA	NA	   4
488 s.	 488	NA	NA	   4
(24)s	  24	NA	NA	   4
239, [1] s.	 240	NA	NA	   4
32 s. =(s. 31/32 blank).=	NA	NA	NA	   4
251 s.	 251	NA	NA	   4
371 s.	 371	NA	NA	   4
87, [1] s.	  88	NA	NA	   4
[02] , 18 s.	  20	NA	NA	   4
170s	 170	NA	NA	   4
348 s.	 348	NA	NA	   4
176s	 176	NA	NA	   4
332 s.	 332	NA	NA	   4
30, [1] s.	  31	NA	NA	   4
274 s.	 274	NA	NA	   4
319s	 319	NA	NA	   4
151s	 151	NA	NA	   4
92, [1] s.	  93	NA	NA	   4
321 s.	 321	NA	NA	   4
323 s.	 323	NA	NA	   4
135s	 135	NA	NA	   4
[96] s.	  96	NA	NA	   4
30,(2)s	  30	NA	NA	   4
105s	 105	NA	NA	   4
49s	  49	NA	NA	   4
[128] s.	 128	NA	NA	   4
16 s. =(s. 15/16 blank)=.	NA	NA	NA	   4
201 s.	 201	NA	NA	   4
159, [1] s.	 160	NA	NA	   4
42s	  42	NA	NA	   4
246 s.	 246	NA	NA	   4
416 s.	 416	NA	NA	   4
111s	 111	NA	NA	   4
181s	 181	NA	NA	   4
289 s.	 289	NA	NA	   4
272s	 272	NA	NA	   4
126s	 126	NA	NA	   4
220s	 220	NA	NA	   4
70s	  70	NA	NA	   4
408 s.	 408	NA	NA	   4
173 s.	 173	NA	NA	   4
225 s.	 225	NA	NA	   4
468 s.	 468	NA	NA	   4
(8)s	   8	NA	NA	   4
403 s.	 403	NA	NA	   4
326 s.	 326	NA	NA	   4
486 s.	 486	NA	NA	   4
209 s.	 209	NA	NA	   4
41s	  41	NA	NA	   4
79, [1] s.	  80	NA	NA	   4
71s	  71	NA	NA	   4
95s	  95	NA	NA	   4
290 s.	 290	NA	NA	   4
250, [1] s.	 251	NA	NA	   4
427 s.	 427	NA	NA	   4
317 s.	 317	NA	NA	   3
[23] s.	  23	NA	NA	   3
93, [1] s.	  94	NA	NA	   3
277, [1] s.	 278	NA	NA	   3
260s	 260	NA	NA	   3
210, [1] s.	 211	NA	NA	   3
[04] , 52 s.	  56	NA	NA	   3
218, [1] s.	 219	NA	NA	   3
111, [1] s.	 112	NA	NA	   3
207, [1] s.	 208	NA	NA	   3
[22] s.	  22	NA	NA	   3
376 s.	 376	NA	NA	   3
94, [2] s.	  96	NA	NA	   3
90s	  90	NA	NA	   3
407 s.	 407	NA	NA	   3
471 s.	 471	NA	NA	   3
39, [1] s.	  40	NA	NA	   3
356 s.	 356	NA	NA	   3
188, [1] s.	 189	NA	NA	   3
145 s.	 145	NA	NA	   3
148s	 148	NA	NA	   3
A4-D4.	NA	NA	NA	   3
55s	  55	NA	NA	   3
A8-B8.	NA	NA	NA	   3
[46] s.	  46	NA	NA	   3
386 s.	 386	NA	NA	   3
35, [1] s.	  36	NA	NA	   3
302 s.	 302	NA	NA	   3
59s	  59	NA	NA	   3
139s	 139	NA	NA	   3
155s	 155	NA	NA	   3
