original	pagecount	volnumber	volcount	Count
99 s	  99	NA	NA	   1
2 vol.;(39,(1)s.;16s)	  55	NA	NA	   1
[02] , 878 s.	 880	NA	NA	   1
214s	 214	NA	NA	   1
71, [1] s.,30 blanketter	  72	NA	NA	   1
2 vol.;(160 + viii ; 157, [1] + [10] s.)	 325	NA	NA	   1
S.295-325,(1)s	 325	NA	NA	   1
2 vol.;(201; 227 s.)	 428	NA	NA	   1
(1),185s	 185	NA	NA	   1
798 s.	 798	NA	NA	   1
[04], xxii, 586 s. =(s. xxi-xxii, 580-86 opag.).=	1170	NA	NA	   1
122 s., 6 pl.	 134	NA	NA	   1
472, [1] s.	 473	NA	NA	   1
[32] , 496 s. =(s. 417-96 opag.)=.	  32	NA	NA	   1
100 s., 6 pl.bl. i färg	 100	NA	NA	   1
36s.,5 pl.-bl.	  36	NA	NA	   1
A8-Z8Aa8-Mm8.	NA	NA	NA	   1
iv och 227 s.	 231	NA	NA	   1
[6], 26, [2] s.	  34	NA	NA	   1
[04] , 100 s.	 104	NA	NA	   1
(2), 57, xxiij s.	  80	NA	NA	   1
369 s.	 369	NA	NA	   1
S. 406-831	 426	NA	NA	   1
[5] s., s. 673-885	 218	NA	NA	   1
iv, 202 s., vi pl.-bl.	 206	NA	NA	   1
110,[1] s.	 111	NA	NA	   1
[4], 183, [1] s.	 188	NA	NA	   1
109s	 109	NA	NA	   1
xxviii, 170 s.	 198	NA	NA	   1
(4), iv, 122 s., 1 portr.	 128	NA	NA	   1
71,(3)s	  71	NA	NA	   1
(1),21,(1)s	  21	NA	NA	   1
242,(1)s	 242	NA	NA	   1
iv, 55, [1] s.	  60	NA	NA	   1
viii, 326 s.	 334	NA	NA	   1
4 vol.;([2], 129 ; 93 ; 76 ; 83 s.)	 383	NA	NA	   1
40 s., [2] ins.	  40	NA	NA	   1
23 s. +	  23	NA	NA	   1
147, v s.	 152	NA	NA	   1
[2], 37, [1] s.	  40	NA	NA	   1
218 s	 218	NA	NA	   1
72, 96 s.	  96	NA	NA	   1
)(4A4-D4E2.	 400	NA	NA	   1
[100], 19, s.	 119	NA	NA	   1
149, [2] s.	 151	NA	NA	   1
[6], 226 s.	 232	NA	NA	   1
188 s., 8 pl.-bl.	 188	NA	NA	   1
a 24 s.	NA	NA	NA	   1
169,(1)s	 169	NA	NA	   1
[7], 60, [1] s., 11 pl.-bl.	  68	NA	NA	   1
96,[3] s., 8 pl.-bl.	  99	NA	NA	   1
12, 566 s. =(s. 565-66 opag.)=	  12	NA	NA	   1
194 s. +	 194	NA	NA	   1
458 s.	 458	NA	NA	   1
131, [1] s., [16] pl.-bl.	 132	NA	NA	   1
62, [2] s., 6 faks.-bl.	  64	NA	NA	   1
x, 187 s.	 197	NA	NA	   1
217 s., 16 pl.-bl.	 217	NA	NA	   1
376,(2)s	 376	NA	NA	   1
s. 248-254	   7	NA	NA	   1
384s	 384	NA	NA	   1
[Ca 100 bl.]	 200	NA	NA	   1
[8], 84 s., (s. 83/84 blank)	  92	NA	NA	   1
75, [21] s.	  96	NA	NA	   1
(17) 2-214 (2) s.	NA	NA	NA	   1
1014, [2] s.	1016	NA	NA	   1
211,(1)s.,15 pl.-bl.	 211	NA	NA	   1
334, (1) s., 2 kartbl.	 338	NA	NA	   1
491 s.	 491	NA	NA	   1
395 s., 1 pl.-bl.	 395	NA	NA	   1
14s.,1 pl.-bl.	  14	NA	NA	   1
ix, 385 s.	 394	NA	NA	   1
194 s., 7 pl.-bl.	 194	NA	NA	   1
460 s.	 460	NA	NA	   1
159, [1] s., 1 kartbl.	 162	NA	NA	   1
[12], 389 s.	 401	NA	NA	   1
324, [2] s.	 326	NA	NA	   1
100 s. =(s. 99-100 opag. annons)=.	NA	NA	NA	   1
222 s.; 164 s.	 386	NA	NA	   1
[6], 187, [1] s.	 194	NA	NA	   1
[08] , 248 s.	 256	NA	NA	   1
[02] , 16 s.	  18	NA	NA	   1
vij och 172 s. samt 8 pl.	NA	NA	NA	   1
xii, 264, [ii02], iii220 s.	 276	NA	NA	   1
xxxi, 72 s.	 103	NA	NA	   1
470 s.	 470	NA	NA	   1
[4], 171 s.	 175	NA	NA	   1
115, [5] s.	 120	NA	NA	   1
A8-B8C7.	NA	NA	NA	   1
x, 140 s.	 150	NA	NA	   1
[06] , 232 s.; v pl.	 248	NA	NA	   1
x,210s.,1 portr.	 222	NA	NA	   1
284,(1)s.,4 pl.-bl.	 284	NA	NA	   1
[2], 268 s.	 270	NA	NA	   1
2 vol.;(181,288s)	 288	NA	NA	   1
[04] , 44 s.	  48	NA	NA	   1
25, 4 s.	  25	NA	NA	   1
xx, 247 s.	 267	NA	NA	   1
[56] s.	  56	NA	NA	   1
139,(4)s	 139	NA	NA	   1
s.277-329	  53	NA	NA	   1
221,(2)s	 221	NA	NA	   1
[4] s	   4	NA	NA	   1
117, (1) s.	 117	NA	NA	   1
(4),286 s., 8 pl.-bl.	 286	NA	NA	   1
[22] , ii366, [iii74] s.; pl. 1-4, 4-17, [1] volvell.	  41	NA	NA	   1
[3] s., s. 104-128	  28	NA	NA	   1
109, [2] s.	 111	NA	NA	   1
[4], 189 s.	 193	NA	NA	   1
32 s., [1] pl.-bl.	  32	NA	NA	   1
229 s., 10 pl.-bl.	 229	NA	NA	   1
[02] , 38 s.	  40	NA	NA	   1
452, [2] s.	 454	NA	NA	   1
[15], 56 s., [2], 43 s.	  73	NA	NA	   1
viii, 591 s.	 599	NA	NA	   1
170 s., 10 pl.	 190	NA	NA	   1
[3], 163 s.	 166	NA	NA	   1
133 s., 119 pl-bl.	 133	NA	NA	   1
60,(8)s	  60	NA	NA	   1
46 vol.	NA	NA	46	   1
227, 81] s.	 308	NA	NA	   1
24 s., 1 vikt pl.-bl.	  24	NA	NA	   1
203 s., 12 pl.-bl.	 203	NA	NA	   1
[4], 448 s.	 452	NA	NA	   1
xiii, 173 s.	 186	NA	NA	   1
s. 125-160	  36	NA	NA	   1
588 s.	 588	NA	NA	   1
268, [1] s., 4 pl.-bl.	 269	NA	NA	   1
(21)bl.	  42	NA	NA	   1
179,(1)s	 179	NA	NA	   1
[16] , 96 s. (s. 94-96 opag.)	  16	NA	NA	   1
347, [3] s.	 350	NA	NA	   1
[4], 248, [2] s.	 254	NA	NA	   1
511s.,1 karta	 513	NA	NA	   1
[2], 302 s., 8 pl.-bl.	 304	NA	NA	   1
58, (2) s.	  58	NA	NA	   1
(1),45 bl., 4 diagrambl.	  91	NA	NA	   1
122, (1) s., 26 pl.-bl.	 122	NA	NA	   1
44[4] s. (s. 45-48 blank)	  48	NA	NA	   1
234 s., 4 pl.-bl.	 234	NA	NA	   1
[04], 212 s. =(s. 211-12 opag. annons).=.	   4	NA	NA	   1
S. 193-304 =(s. 303-04 opag.).=	 304	NA	NA	   1
110,(2)s.,4 pl.-bl.	 110	NA	NA	   1
219,(3)s	 219	NA	NA	   1
30s.,4 pl.-bl.	  30	NA	NA	   1
[08] , ii140, iii240, 18 s.	  26	NA	NA	   1
59 s.,1 karta	  61	NA	NA	   1
16 s. och 1 pl.	NA	NA	NA	   1
76,(4)s	  76	NA	NA	   1
211 s., 5 pl.-bl.	 211	NA	NA	   1
48, [ii32] , iii424 s. =(s. 409-24 opag.).=	  48	NA	NA	   1
H. 1-3 i en vol.	NA	NA	NA	   1
140 s.; [1] pl.	 142	NA	NA	   1
42s +	  42	NA	NA	   1
209 s., 9 utv.-kartor	 209	NA	NA	   1
[12], 196 s.	 208	NA	NA	   1
[2], 116 s.	 118	NA	NA	   1
255, [1] s.	 256	NA	NA	   1
[8], 144, [1] s.	 153	NA	NA	   1
22 s.,3 pl.-bl.	  22	NA	NA	   1
185, [2] s.	 187	NA	NA	   1
302s	 302	NA	NA	   1
s. 139-146	   8	NA	NA	   1
190 s., 3 pl.	 196	NA	NA	   1
[2]3-48 s.	  48	NA	NA	   1
274 s., 8 pl.-bl.	 274	NA	NA	   1
xvi, 669 s.	 685	NA	NA	   1
1:1-3, 2:1-3	   3	NA	NA	   1
[08], 284 s. =(s. 283 opag. rättelser)=	   8	NA	NA	   1
[4], 258, [1] s.	 263	NA	NA	   1
[24], 664, [36] s.	 724	NA	NA	   1
204,(1)s.,8 pl.-bl.	 204	NA	NA	   1
[02], 144 s.	 146	NA	NA	   1
[30], 128 s., s. 127-162, xxxvi s. =(s. xxxiii-xxxvi opag.).=	 192	NA	NA	   1
487 s.	 487	NA	NA	   1
[08] , 132 s.	 140	NA	NA	   1
[4], 206, [2] s.	 212	NA	NA	   1
xxiv, 209 s.	 233	NA	NA	   1
240 s. =(s. 239-40 opag.)=	NA	NA	NA	   1
320 s. (s. 316-320 opag.)	NA	NA	NA	   1
536 s.	 536	NA	NA	   1
306, [4] s.	 310	NA	NA	   1
S. [97]-132	  36	NA	NA	   1
(4), 346 s.	 346	NA	NA	   1
1 ark	NA	NA	NA	   1
xiv, 282 s., 3 pl.-bl.	 296	NA	NA	   1
[2], xix, [1], 62, [4] s., 1 portr.	  90	NA	NA	   1
277s	 277	NA	NA	   1
[2], 149 s. ; [2], 166 s.	 319	NA	NA	   1
ix, 247 s.	 256	NA	NA	   1
96, [1] s.	  97	NA	NA	   1
47, (3) s.	  47	NA	NA	   1
(3)s	   3	NA	NA	   1
x, 61 s.	  71	NA	NA	   1
26, (1)s.	  26	NA	NA	   1
360s	 360	NA	NA	   1
lxxxvi pl.-bl., 343 s.	 343	NA	NA	   1
22, [1] s.	  23	NA	NA	   1
viij och 135 s.	 143	NA	NA	   1
[2], s. [17]-25, [1] s.	  12	NA	NA	   1
[02], iv, 100 s.; [2] ins.	 106	NA	NA	   1
73, [2] s.	  75	NA	NA	   1
203, [2] s.	 205	NA	NA	   1
[02], 188 s.	 190	NA	NA	   1
x , 426 s.	 436	NA	NA	   1
(3) 4-158 (2) s.	NA	NA	NA	   1
48,(4)s	  48	NA	NA	   1
492,189,140,128 s.	 492	NA	NA	   1
S.1-12,497-514,13-104,515-525,105-120,(1)s	 525	NA	NA	   1
[06], ii368 s.; [1] rättelsebl.	   6	NA	NA	   1
416, [3] s.	 419	NA	NA	   1
s. 132-155	  24	NA	NA	   1
(1),38 s.	  38	NA	NA	   1
[04] , 192 s.; [4] pl.	 204	NA	NA	   1
154,(2)s.	 154	NA	NA	   1
[6], 388, [1] s.	 395	NA	NA	   1
[44] s.; [1] ins.	  44	NA	NA	   1
22 pl. med text	NA	NA	NA	   1
226 s., [1] pl.-bl.	 226	NA	NA	   1
x, 250 s.	 260	NA	NA	   1
64 s., [5] pl.-bl.	  64	NA	NA	   1
515, [3] s., [2] kartbl.	 522	NA	NA	   1
32 s., 1 pl.-bl.	  32	NA	NA	   1
418 s.	 418	NA	NA	   1
2 vol.;(316 ; 315 s.)	 631	NA	NA	   1
92s.,1 karta	  94	NA	NA	   1
[6], 348, [2] s.	 356	NA	NA	   1
iv, 65 s.	  69	NA	NA	   1
[4], 258, LIII, [3] s.	 318	NA	NA	   1
266s	 266	NA	NA	   1
61,(1)s	  61	NA	NA	   1
180 s., 34 pl.-s.	 180	NA	NA	   1
205, (1) s.	 205	NA	NA	   1
[06] , 18 s.	  24	NA	NA	   1
63,[1] s.	  64	NA	NA	   1
54,(34)s.,3 pl.-bl.	  54	NA	NA	   1
1 vol.;([2], 241 s., titelpl.)	 243	NA	NA	   1
181, (1) s., [12] pl.-s.	 181	NA	NA	   1
315, [1] s.	 316	NA	NA	   1
[04], xiv, ii448, [iii02], iv64 s., s. 449-450; ii pl.	  24	NA	NA	   1
2 vol. (S. 1-145 ; [2] s. s. 147-285)	 430	NA	NA	   1
265 s., 1 pl.	 267	NA	NA	   1
2 vol. a 624 ; 640 s.	 640	NA	NA	   1
111 s., 8 pl.-bl.	 111	NA	NA	   1
231, [1] s.	 232	NA	NA	   1
122 s., 1 tab.	 124	NA	NA	   1
[10] s	  10	NA	NA	   1
[10], 457, [7] s.	 474	NA	NA	   1
[08] s.; [1] pl.	  10	NA	NA	   1
260, [3] s., 3 pl-bl.	 263	NA	NA	   1
[2], 40 s.	  42	NA	NA	   1
259 s., 1 portr.	 261	NA	NA	   1
s. i-viii, 9-508	 508	NA	NA	   1
169s	 169	NA	NA	   1
[4], [4], [36] s. ;A4-D4	  44	NA	NA	   1
(8), 215 s.	 215	NA	NA	   1
(3) 4-448; (3) 4-171 (1); (3) 4-172; (3) 4-14; (3) 4-28; (3) 4-36; (3) 4-16; (3) 4-135 (1); (3) 4-44 (12) s.	 714	NA	NA	   1
[4], 74 s.	  78	NA	NA	   1
[8], 371 s.	 379	NA	NA	   1
165, (1) s.	 165	NA	NA	   1
722 s.	 722	NA	NA	   1
3 vol.;(750, [2] s.)	 752	NA	NA	   1
(4),424,(1)s	 424	NA	NA	   1
S.309-366	  58	NA	NA	   1
129s	 129	NA	NA	   1
421 s.	 421	NA	NA	   1
197,(1)s	 197	NA	NA	   1
73-122, s. 123-128 =(totalt 64 s.)=.	 128	NA	NA	   1
(1)8 A8-08P4.	NA	NA	NA	   1
xvi, 144 s.	 160	NA	NA	   1
185, [1] s.	 186	NA	NA	   1
319s.,1 kartbl.	 321	NA	NA	   1
iv, 152 s.	 156	NA	NA	   1
xvj och 503 s.	NA	NA	NA	   1
S. 425-736	 312	NA	NA	   1
80 s. =(s. 79/80 blank).=	NA	NA	NA	   1
316 s., 2 pl.-bl., 4 kartbl.	 324	NA	NA	   1
20 s. (=Evangeliska sällskapets skrifter=. 50.)	NA	NA	NA	   1
88 s., iv pl.	  96	NA	NA	   1
108 s.; [1] pl. =(noter)=.	 108	NA	NA	   1
08 s. (Almänna magazinet, 1:25.)	NA	NA	NA	   1
[04], 90 s.; 3 ins., 1 pl.	  96	NA	NA	   1
584 s.	 584	NA	NA	   1
[06] , 180 s.	 186	NA	NA	   1
[04] , 124 s. =(s. 123 opag. rättelser)=; ii pl.	   8	NA	NA	   1
136, [5] s.	 141	NA	NA	   1
1 bl. i pärm.	   2	NA	NA	   1
vii, [1], 325 s.	 333	NA	NA	   1
148 s. och 13 pl.	NA	NA	NA	   1
[4], 59 s., 1 portr.	  65	NA	NA	   1
586 s., 6 pl.	 598	NA	NA	   1
[02] , 230 s.	 232	NA	NA	   1
(7),147s	 147	NA	NA	   1
(2) 3-52 s.	  52	NA	NA	   1
xiv, 308 s.	 322	NA	NA	   1
216 s., [20] pl.-bl.	 216	NA	NA	   1
52,(2)s	  52	NA	NA	   1
107 s.;(110 s., 18 pl.)	 217	NA	NA	   1
[08], 192 s. =(s. 187-90 opag., 191/192 blank)=	   8	NA	NA	   1
viii, 475 s.	 483	NA	NA	   1
lxxxviii, 343 s., [1] pl.-bl.	 431	NA	NA	   1
v, [1], 175 s.	 181	NA	NA	   1
453s	 453	NA	NA	   1
456 s.	 456	NA	NA	   1
(4), 171 s.	 171	NA	NA	   1
(14) 1-276 s.	 276	NA	NA	   1
[10], 110 s. =(s. 109/110 blank).=	  10	NA	NA	   1
468, [3] s.	 471	NA	NA	   1
[04] , 244 s.	 248	NA	NA	   1
448, 108 s.	 448	NA	NA	   1
(4),205s	 205	NA	NA	   1
547 s.	 547	NA	NA	   1
207, [2] s.	 209	NA	NA	   1
[10], 250 s.	 260	NA	NA	   1
(8), 84 s.	  84	NA	NA	   1
[14], 229, [29] s.	 272	NA	NA	   1
[4], 187, [1] s.	 192	NA	NA	   1
33,(3)s	  33	NA	NA	   1
98, [2] s.	 100	NA	NA	   1
Ca 50-80 s.	  31	NA	NA	   1
A4-C4D; [2], [26] s	 528	NA	NA	   1
156 s	 156	NA	NA	   1
[04], 648 s.	 652	NA	NA	   1
225s.,1 diagrambl.	 225	NA	NA	   1
457 s	 457	NA	NA	   1
29 s., 24 pl.-bl.	  29	NA	NA	   1
444 s. =(s. 443-44 opag.)=	NA	NA	NA	   1
9 vol. i 10	NA	NA	NA	   1
25 s., 1 karta	  27	NA	NA	   1
551s	 551	NA	NA	   1
143 s., 6 pl.	 155	NA	NA	   1
450, [1] s.	 451	NA	NA	   1
24 s.; [1] pl.	  26	NA	NA	   1
121, (2) s.	 121	NA	NA	   1
304s	 304	NA	NA	   1
[4] s., s. 131-261	 135	NA	NA	   1
S. 290-305	  16	NA	NA	   1
624 s.	 624	NA	NA	   1
A8-C8D4.	NA	NA	NA	   1
clxiii, 514 s., [13], [2] vikta kartbl.	 690	NA	NA	   1
18, (2) s.	  18	NA	NA	   1
ci, 424 s.	 525	NA	NA	   1
[04] , ii408, iii344 s.	   4	NA	NA	   1
ix,165, [3] s.	 177	NA	NA	   1
92 s., 1 pl., 1 karta	  94	NA	NA	   1
246s	 246	NA	NA	   1
52 s.; [7] pl.	  66	NA	NA	   1
[8] s. (s. 7-8 blankt blad)	NA	NA	NA	   1
16 s. =(s. 15 opag. prisuppg.)=.	NA	NA	NA	   1
76s.	  76	NA	NA	   1
399, [1] s.	 400	NA	NA	   1
435 s.	 435	NA	NA	   1
526 s.	 526	NA	NA	   1
280 s., 4 pl.-bl.	 280	NA	NA	   1
[04], xxxii, 522 s. =(s. 501-22 opag.)=	  36	NA	NA	   1
79 s., 1 vikt pl.-bl.	  79	NA	NA	   1
33, [2] s.	  35	NA	NA	   1
549 s.	 549	NA	NA	   1
[2], 70 s.	  72	NA	NA	   1
100, [2] s. +	 102	NA	NA	   1
[1], 476 s., 1 karta	 479	NA	NA	   1
96 s. =(s. 95-96 opag.).=	NA	NA	NA	   1
(2),128s	 128	NA	NA	   1
[08], 792 s. (s. 787-92 annons).	   8	NA	NA	   1
vii,291s.,4 pl.-bl.	 298	NA	NA	   1
S. 69-129	  61	NA	NA	   1
77 s., [6] tab.- och kartbl.	  77	NA	NA	   1
18s.,8 pl.-bl.	  18	NA	NA	   1
[2] s., [8] bl.	  18	NA	NA	   1
120 s	 120	NA	NA	   1
A12B4A12-F12G6.	NA	NA	NA	   1
614 s.	 614	NA	NA	   1
(4) i-xcix bl.	NA	NA	NA	   1
[148], 16 s.; 72 pl.	 308	NA	NA	   1
189, [1] s.	 190	NA	NA	   1
[04] , 60 s.	  64	NA	NA	   1
[34] , 170 s. =(s. 169-70 opag.)=	  34	NA	NA	   1
20, ii175 s., s. 178-230 =(s. 19-20 opag.)=	 230	NA	NA	   1
[1], 212, 105, 56 s.	 213	NA	NA	   1
63, [1] s. :b huvudsakligen ill.	  63	NA	NA	   1
104 s. =(s. 103-04 opag.)=	NA	NA	NA	   1
[4], 84 bl., + 2 pl.-bl.	 172	NA	NA	   1
xxviii, [4], 198 s.	 230	NA	NA	   1
(5)s	   5	NA	NA	   1
283 s., [24] pl.-s.	 283	NA	NA	   1
(4), 162 s.	 162	NA	NA	   1
18, (3) s.	  18	NA	NA	   1
94 och 96 s.	 190	NA	NA	   1
V-XXVIII, 80 s.	 104	NA	NA	   1
[10], 438 s. =(s. 425- 38 opag.)=.	  10	NA	NA	   1
XVIII, 481, (5) .	 499	NA	NA	   1
(6) 1-122 s.	 122	NA	NA	   1
s.1-296*	 296	NA	NA	   1
iv, 285 s.	 289	NA	NA	   1
362, [1] s.	 363	NA	NA	   1
1381 s.	1381	NA	NA	   1
x, 60 s.	  70	NA	NA	   1
S. 655-668	  14	NA	NA	   1
207, [1] s., 40 pl.-bl.	 208	NA	NA	   1
257 s.	 257	NA	NA	   1
[4], 512 s.	 516	NA	NA	   1
16 s. =(s. 13/14, 15/16 blanka)=	NA	NA	NA	   1
xvj,187s	 187	NA	NA	   1
2 vol.;(586 s.)	 586	NA	NA	   1
[4] s., 19 [1] s.	   4	NA	NA	   1
[02], 50 s. =(s. 49-50 opag.).=	   2	NA	NA	   1
102 s., 1 pl.	 104	NA	NA	   1
209s	 209	NA	NA	   1
152 s., [6] pl.bl.	 156	NA	NA	   1
A12-G12.	NA	NA	NA	   1
177 p.	 177	NA	NA	   1
27,(1)s	  27	NA	NA	   1
220,(2)s	 220	NA	NA	   1
300 s. (s. 300 blank)	NA	NA	NA	   1
3 vol.;(288; 289; 270 s.)	 847	NA	NA	   1
29 [1] s. (s. 1-5 opag), [9] pl.-bl. (vissa vikta)	  29	NA	NA	   1
130 s., [4] pl.-bl. i färg	 130	NA	NA	   1
384 s. =(s. 344-84 opag.)=.	NA	NA	NA	   1
73,(2)s	  73	NA	NA	   1
373 s.	 373	NA	NA	   1
66 pl.-bl.	NA	NA	NA	   1
167, [4] s.	 171	NA	NA	   1
viij,278s.,1 kartbl.	 288	NA	NA	   1
234, [1] s.	 235	NA	NA	   1
159,(1)s	 159	NA	NA	   1
199 s., 8 pl.-bl.	 199	NA	NA	   1
A4-G4-?	NA	NA	NA	   1
95 s., iv pl.-bl.	  95	NA	NA	   1
69, s., 32 pl.-s.	  69	NA	NA	   1
26 s., 3 pl.-bl.	  26	NA	NA	   1
648 s.	 648	NA	NA	   1
[8], 133 [3] s.	   8	NA	NA	   1
[1] s., s. 66-128	  64	NA	NA	   1
[4], 38 s.	  42	NA	NA	   1
16-20 s.	   5	NA	NA	   1
xii, 276 s.	 288	NA	NA	   1
326s	 326	NA	NA	   1
vi, 378 s.	 384	NA	NA	   1
(3),170s	 170	NA	NA	   1
2 vol. (174 ; 69 s.)	 243	NA	NA	   1
S. 249-342	  94	NA	NA	   1
16 pl. bl.	   4	NA	NA	   1
303s	 303	NA	NA	   1
245,(1)s	 245	NA	NA	   1
80 p.	  80	NA	NA	   1
[2], 20, [2] s.	  24	NA	NA	   1
[04], 336 s.	 340	NA	NA	   1
11, [1] s.	  12	NA	NA	   1
13,(1)s	  13	NA	NA	   1
23 s., 1 pl.	  25	NA	NA	   1
[06], ii48, iii336, iv72 s.; [1] ins.	   6	NA	NA	   1
124, [1] s.	 125	NA	NA	   1
83,(1)s.,10 pl.-bl.	  83	NA	NA	   1
222, [1] s.	 223	NA	NA	   1
145, [7] s.	 152	NA	NA	   1
181, [3] s.	 184	NA	NA	   1
xiii, 460 s.	 473	NA	NA	   1
A8-C8D2	NA	NA	NA	   1
78, [2] s., 1 faks.-bl., 1 bil.	  80	NA	NA	   1
223 s.,16 pl.-bl.	 223	NA	NA	   1
140 s., 1 portr.bl.	 140	NA	NA	   1
36 s. formulär	NA	NA	NA	   1
60, [2] s.	  62	NA	NA	   1
402 s.	 402	NA	NA	   1
[06] , 676 s. =(s. 673-76 opag.)=.	   6	NA	NA	   1
(503)s	 503	NA	NA	   1
[08] , 76 s.; [1] pl.	  86	NA	NA	   1
124, [3] s.	 127	NA	NA	   1
52, [1] s.	  53	NA	NA	   1
31s.	  31	NA	NA	   1
(4),115s	 115	NA	NA	   1
[08] , ii288 s.	   8	NA	NA	   1
(1),iv,69 bl.	 143	NA	NA	   1
5s	   5	NA	NA	   1
182,[1] s.	 183	NA	NA	   1
56 s. och 14 pl.	NA	NA	NA	   1
[6], 40 s.	  46	NA	NA	   1
370, [2] s.	 372	NA	NA	   1
258, [1] s.	 259	NA	NA	   1
40 s. =(s. 39-40 opag. annons)=.	NA	NA	NA	   1
[04] , 224 s. =(s. 223-24 opag.)=.	   4	NA	NA	   1
[32] s.; [04] s. =(reg.).=	  32	NA	NA	   1
[4], 243 s.	 247	NA	NA	   1
425 s.	 425	NA	NA	   1
[02] , 170 s. =(s. 170 felpag '160')=.	   2	NA	NA	   1
22, [02] s.(annons)	  24	NA	NA	   1
305 s.,8 pl.-bl.	 305	NA	NA	   1
192 s.; [06] s. =(rättelser)=.	 192	NA	NA	   1
40,(9) bl.	  58	NA	NA	   1
2 vol.;(190 s.)	 190	NA	NA	   1
[8], 118 [1] s.	   8	NA	NA	   1
323 s.;(323, [5] s., 24 pl.-bl.)	 651	NA	NA	   1
[2], [22] s.	  24	NA	NA	   1
[02] , 378 s. =(s. 376-78 opag.).=	   2	NA	NA	   1
[3], 64, [1] s.	  68	NA	NA	   1
S. 257-424	 168	NA	NA	   1
[1], 43 s., [1] vikt bl.	  44	NA	NA	   1
655 s.	 655	NA	NA	   1
(4), 95 s.	  95	NA	NA	   1
52 s. ; I-XII	  64	NA	NA	   1
405 s., [80] pl.-s., vikt karta	 405	NA	NA	   1
333,(1)s	 333	NA	NA	   1
122 s.; [1] ins.	 122	NA	NA	   1
[12] , 574 s.	 586	NA	NA	   1
[4], 86, [5] s.	  95	NA	NA	   1
8 s., 4 pl.	  16	NA	NA	   1
vii, 139 s.	 146	NA	NA	   1
(2),74s	  74	NA	NA	   1
(18) vikta s	NA	NA	NA	   1
28 s	  28	NA	NA	   1
[08], 376 s.	 384	NA	NA	   1
[02] , ii362 s.; [1] pl.	   4	NA	NA	   1
81 s. och 2 pl.	NA	NA	NA	   1
275, [1]s	 276	NA	NA	   1
xx, 808 s.	 828	NA	NA	   1
73 pl.	 146	NA	NA	   1
4 p.	   4	NA	NA	   1
16 bl.	  32	NA	NA	   1
292 s., [1] pl.-bl.	 292	NA	NA	   1
[02] s., 1920 sp., [ii02] s., 1016 sp. =(totalt 962 resp. 510 s.)=; frontespis, grav.titelbl.	   2	NA	NA	   1
73, [1] s., 1 bl.	  76	NA	NA	   1
viij, 275 s.	 283	NA	NA	   1
62 s., 1 karta	  64	NA	NA	   1
[5], 204, [2] s.	 211	NA	NA	   1
S. 137-290	 154	NA	NA	   1
328 s. =(s. 321-28 opag.)=; iii pl., pl. iii-xii	  12	NA	NA	   1
91, [2] s.	  93	NA	NA	   1
[08] , 792 s. =(s. 787-92 annons).=	   8	NA	NA	   1
iv och 111 s.	 115	NA	NA	   1
[02] , ii528, [iii02] , iv221 s., s. 223-473 =(s. iv455-73 opag.)=.	 475	NA	NA	   1
224,[1] s.	 225	NA	NA	   1
[02] , 136 s. =(s. 113-36 opag.)=; [2] pl.	   6	NA	NA	   1
136, (1) s.	 136	NA	NA	   1
8 s., [12] pl.-bl.	   8	NA	NA	   1
[4], 199 s.	 203	NA	NA	   1
xxvii, 796 s., [79] pl.-bl.	 823	NA	NA	   1
(4),52 s.	  52	NA	NA	   1
163s.,16 pl.-bl.	 163	NA	NA	   1
318 s., 10 pl.-bl.	 318	NA	NA	   1
S. 562-1223	 662	NA	NA	   1
(25) 2-806 (8) s.	NA	NA	NA	   1
6 s., 21 pl.-s.	   6	NA	NA	   1
83, 73, 102, 62 s.	 102	NA	NA	   1
50 s., [18] pl.-bl.	  50	NA	NA	   1
265,[2] s.	 267	NA	NA	   1
[20] s. =(s. 19/20 blank)=.	NA	NA	NA	   1
58s.,8 pl.-bl.	  58	NA	NA	   1
394, [2] s.	 396	NA	NA	   1
64 s., 2 pl.-bl. i färg	  64	NA	NA	   1
(1) ii-lxxi (1) bl.	NA	NA	NA	   1
550 s.	 550	NA	NA	   1
vj och 361 s.	NA	NA	NA	   1
1 vol.;(120s)	 120	NA	NA	   1
368, [2] s., 1 pl.-bl.	 370	NA	NA	   1
[04] , 648 s. =(s. 635-48 opag.)=.	   4	NA	NA	   1
(3),122s	 122	NA	NA	   1
viij, 82, [1] s.	  91	NA	NA	   1
112 s. =(. 110-12 opag. annons).=	NA	NA	NA	   1
[8], 261, [1] s., 9 pl.-bl., 1 karta	 272	NA	NA	   1
vj, 51 s.	  51	NA	NA	   1
(7),158 s.	 158	NA	NA	   1
153, [4] s.	 157	NA	NA	   1
155, (1) s.	 155	NA	NA	   1
391 s., 1 karta, 1 portr.	 395	NA	NA	   1
viii, 224 s. =(s. vii-viii opag. rättelser)=; [1] ins.	   8	NA	NA	   1
S. 11-122	 112	NA	NA	   1
08 s	   8	NA	NA	   1
186p.	 186	NA	NA	   1
[4], 226 s.	 230	NA	NA	   1
iv, 187,(1) s.	 191	NA	NA	   1
[12], 349, [11] s., [6] pl.-bl.	 372	NA	NA	   1
viii, 40 s. & omsl.	  48	NA	NA	   1
12 bl.	  24	NA	NA	   1
295, [2] s.	 297	NA	NA	   1
vii, 651 s.	 658	NA	NA	   1
[04], 136 s.	 140	NA	NA	   1
