original	polished	Count
Sv. kristl. studentrör	Svenska kristl. stud.-rör	  29
Sv. missionsförbundet	Svenska missions	  29
Uddevalla tr.	Uddevalla tr	  29
[Församl.]	Församl	  29
Envall & Kull	Envall & Coull	  28
Tr.-a.-b.	Tr.-a.-b	  28
Berlings	Berling	  28
Hiertas förlagsexp.	Hiertasexp	  28
Kungsholmens bokh.	Kungsholmens bokhandel	  28
Kungl. boktr.	 boktr	  28
Eget förl.	Eget	  28
Gen.-stab:s lit. anst. (distr.)	Gen.-stab:s lit. anst	  28
Normans förlagsexp.	Normansexp	  27
Exp. (Karol. sjukhuset)	Exp	  27
Länstr.	Länstr	  27
Klara civiltr.	Klara civiltr	  27
Södermanlands läns tidn.	Södermanlands läns tidn	  27
Norstedt (Sv. bokf.)	Norstedt	  27
A&W	A & W	  26
Iduns	Idun	  26
Niloé	Niloe	  26
[Observatoriet]	Observatoriet	  26
P. A. Norstedt & Söner	P.A. Norstedt & Söner	  26
Vänersborgs boktr.	Vänersborgs boktr	  26
Nautiska förl.	Nautiska	  26
Sahlströms bokh.	Sahlströms bokhandel	  26
Svensk läraretidnings förlag	Svensk läraretidning	  26
Andersson & C:o	Andersson & Co	  25
Eklunds	Eklund	  25
H. Ohlssons	H. Ohlsson	  25
Skand. förlagsexp.	Skand. sexp	  25
Andrén & Holm	Andren & Holm	  25
Östgöta Corresp.	Östgöta Corresp	  25
Cederquist	Cederqvist	  25
Edquist & Berglund	Edqvist & Berglund	  24
Ungsocialistiska partiets förl.	Ungsocialistiska partiet	  24
LT [Seelig]	LT	  24
Triangelförl.	Triangel	  24
Nord. skolmaterielförl., G. Saietz	Nordiska skolmateriel, G. Saietz	  24
Möllers bokh.	Möllers bokhandel	  24
Nya bokförl.	Nya bok	  24
Norrköpings Tidn.	Norrköpings Tidn	  24
Sveriges kristliga studentrörelses förl.	Sveriges kristliga studentrörelse	  24
Kristianstads boktr.	Kristianstads boktr	  24
L. Rydén	L. Ryden	  24
Biblioteksförl.	Biblioteks	  24
[Gumpert]	Gumpert	  24
Leffler och Sebell	Leffler & Sebell	  23
J. Seligmann & K.	J. Seligmann & Co	  23
Nationalförl.	National	  23
W. Zachrissons	W. Zachrisson	  23
Sveriges kyrkliga studieförb.	Sveriges kyrkliga studieförb	  23
Nya bokförl.-a.-b.	Nya bok-ab	  23
Fosterlands-stiftelsen	Fosterlandsstiftelsen	  23
De ungas förl.	De unga	  23
Nya bokförl.-ab.	Nya bok-ab	  23
Sv. skogsvårdsfören.	Svenska skogsvårdsfören	  23
Saxon & Lindström :;[Seelig]	Saxon & Lindström	  23
Nässjö-tr.	Nässjö-tr	  23
Lantmännens tr.	Lantmännens tr	  23
Örebro missionsförening	Örebro missionsfören	  23
Hallmans bokh.	Hallmans bokhandel	  23
Svenska folkets tidnings förl.	Svenska folkets tidning	  23
Lundequistska bokhandeln	Lundeqvistska bokhandel	  23
Wahlström & Widstrand i kommission	Wahlström & Widstrand	  22
Weijmer	Weijmers	  22
Hæggströms	Häggström	  22
Affärsekonomi :;[Seelig]	Affärsekonomi	  22
[Inst.]	Inst	  22
Lindhska bokh.	Lindhska bokhandel	  22
Länstidn.	Länstidn:s	  22
Östergötlands Dagbl.	Östergötlands Dagbl	  22
Läroboksförl.	Läroboks	  22
Bohlin & C:o.	Bohlin & Co	  22
