"","catalog","author","title","town","from","till","publisher"
"92","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner",NA,1861,1861,"Lindstedts universitetsbokhandel"
"93","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"Suomalainen Tiedeakatemia"
"94","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"Finska Kyrkohistoriska Samfundet"
"95","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1900,1900,"s.n"
"96","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki",1900,1900,"Kloström"
"97","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Helsinki turku",1900,1900,"Lindqvist"
"98","fennica","Runeberg, Johan Ludvig","Johan Ludvig Runebergs samlade skrifter",NA,1858,1858,"Työväen sanomalehti-o.y"
"99","fennica","Runeberg, Johan Ludvig","Johan Ludvig Runebergs samlade skrifter",NA,1858,1858,"s.n"
"100","kungliga","Runeberg, Johan Ludvig","Johan Ludvig Runebergs samlade skrifter",NA,1858,1858,"Lindstedts universitetsbokhandel"
"101","fennica",NA,"Zacharias Topelius","Helsinki",1898,1898,""
"102","fennica",NA,"Zacharias Topelius","Helsinki",1898,1898,"Suomalaisen Kirjallisuuden Seura"
"103","kungliga",NA,"Zacharias Topelius","Helsingsissä",1898,1898,"Thule"
"104","fennica","Lagerborg, Rolf","Finland i utländsk historisk literatur","Helsinki",1897,1897,"Clouberg"
"105","fennica","Lagerborg, Rolf","Finland i utländsk historisk literatur","Helsinki",1897,1897,""
"106","kungliga","Lagerborg, Rolf","Finland i utländsk historisk literatur","Helsingsissä",1897,1897,""
"107","fennica","Wichmann, Yrjö","Die tschuwassischen Lehnwörter in den permischen Sprachen","Helsinki",1903,1903,""
"108","fennica","Wichmann, Yrjö","Die tschuwassischen Lehnwörter in den permischen Sprachen","Helsinki",1903,1903,"Finska litteratursällskap"
"109","kungliga","Wichmann, Yrjö","Die tschuwassischen Lehnwörter in den permischen Sprachen","Helsingsissä",1903,1903,""
"110","fennica","Gottlund, Carl Axel","Runola","Hull",1840,1840,"Simelius"
"111","fennica","Gottlund, Carl Axel","Runola","Hull",1840,1840,"Tekijä"
"112","kungliga","Gottlund, Carl Axel","Runola","Helsingsissä",1840,1840,""
"113","fennica","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Suomussalmi",1891,1891,"Suomalainen Tiedeakatemia"
"114","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Oslo",1891,1891,"L. Blom"
"115","kungliga","Runeberg, Johan Ludvig","Fänrik Ståls sägner","Oslo",1891,1891,"The Continental book co"
"116","fennica","Topelius, Zacharias","Samlade skrifter","Helsinki",1914,1914,""
"117","kungliga","Petri, Olaus","Samlade skrifter","Wakefield neb",1914,1914,"Adolf Bonnier"
"118","kungliga","Strindberg, August","Samlade skrifter","Stockholm falun uppsala",1914,1914,"Västra Sverige"
"119","kungliga","Levertin, Oscar","Samlade skrifter","Stockholm falun uppsala",1914,1914,"Norstedt"
"120","kungliga","Strindberg, August","Samlade skrifter","Stockholm falun uppsala",1914,1914,"Norstedt"
"121","fennica","Lindman, Volmar","Nya dikter","Helsinki",1894,1894,"Yrjö Weilin"
"122","kungliga","Fröding, Gustaf","Nya dikter","Stockholm falun uppsala",1894,1894,"Björck & Börjesson"
"123","kungliga","Levertin, Oscar","Nya dikter","Stockholm falun uppsala",1894,1894,"Norstedt"
"124","kungliga","Fröding, Gustaf","Nya dikter","Stockholm falun uppsala",1894,1894,"Norstedt"
"125","kungliga","Lindman, Volmar","Nya dikter","Helsingsissä",1894,1894,""
"126","fennica","Sire´n, Osvald","Pehr Hilleström d. ä","Suomussalmi",1900,1900,"Helios"
"127","kungliga","Sirén, Osvald","Pehr Hilleström d. ä","Stockholm falun uppsala",1900,1900,"Gleerup"
"128","kungliga","Sirén, Osvald","Pehr Hilleström d. ä","Stockholm falun uppsala",1900,1900,"I. Häggström"
"129","fennica","Framsynt","Hvilken kurs styra vi?","Helsinki",1895,1895,""
"130","kungliga",NA,"Hvilken kurs styra vi?","Helsingsissä",1895,1895,""
"131","kungliga",NA,"Hvilken kurs styra vi?","Helsingsissä",1895,1895,"Sollefteå tryckeri-"
